# Step; Sim. Time; t_SCF; t_Grad; Temp; E_Kin; E_Pot; E_Tot; Cons.Qty; Drift
        57;         28.5;    143.2;     46.1;     439.24;    0.079287;     -772.115247;     -772.035961;     -772.084008;      0.94
        58;         29.0;    134.7;     45.9;     426.49;    0.076985;     -772.112204;     -772.035219;     -772.083965;      1.05
        59;         29.5;    132.0;     46.4;     429.33;    0.077497;     -772.112085;     -772.034588;     -772.084005;      0.94
        60;         30.0;    133.7;     46.3;     443.87;    0.080122;     -772.114271;     -772.034149;     -772.084100;      0.68
        61;         30.5;    143.1;     46.2;     461.89;    0.083376;     -772.117261;     -772.033886;     -772.084198;      0.41
        62;         31.0;    144.5;     45.9;     475.08;    0.085755;     -772.119464;     -772.033709;     -772.084258;      0.24
        63;         31.5;    141.7;     44.2;     478.52;    0.086376;     -772.119882;     -772.033506;     -772.084260;      0.24
        64;         32.0;    122.9;     45.8;     472.05;    0.085210;     -772.118403;     -772.033194;     -772.084212;      0.37
        65;         32.5;    123.1;     46.6;     459.46;    0.082937;     -772.115673;     -772.032736;     -772.084140;      0.57
        66;         33.0;    121.7;     46.1;     446.48;    0.080593;     -772.112747;     -772.032154;     -772.084066;      0.77
        67;         33.5;    124.6;     45.5;     438.76;    0.079201;     -772.110717;     -772.031516;     -772.084010;      0.93
        68;         34.0;    124.8;     46.8;     440.44;    0.079502;     -772.110424;     -772.030922;     -772.083982;      1.01
        69;         34.5;    142.3;     45.6;     453.13;    0.081794;     -772.112275;     -772.030481;     -772.083986;      1.00
        70;         35.0;    142.5;     46.4;     475.61;    0.085852;     -772.116139;     -772.030287;     -772.084024;      0.89
        71;         35.5;    138.2;     42.2;     503.88;    0.090955;     -772.121345;     -772.030390;     -772.084090;      0.71
        72;         36.0;    131.7;     44.3;     531.90;    0.096013;     -772.126787;     -772.030774;     -772.084171;      0.48
        73;         36.5;    139.0;     44.6;     552.99;    0.099819;     -772.131171;     -772.031352;     -772.084245;      0.28
        74;         37.0;    139.1;     44.6;     561.57;    0.101369;     -772.133351;     -772.031983;     -772.084291;      0.15
        75;         37.5;     97.4;     44.9;     555.05;    0.100190;     -772.132683;     -772.032492;     -772.084278;      0.19
        76;         38.0;    139.3;     44.8;     534.86;    0.096547;     -772.129313;     -772.032766;     -772.084221;      0.35
        77;         38.5;    137.9;     44.4;     506.68;    0.091459;     -772.124195;     -772.032736;     -772.084127;      0.61
        78;         39.0;    137.8;     44.6;     478.78;    0.086423;     -772.118864;     -772.032441;     -772.084033;      0.86
        79;         39.5;    117.8;     44.4;     458.76;    0.082810;     -772.114810;     -772.032000;     -772.083984;      1.00
        80;         40.0;    117.7;     44.4;     450.26;    0.081276;     -772.112817;     -772.031541;     -772.083997;      0.96
        81;         40.5;    138.2;     44.4;     451.72;    0.081540;     -772.112681;     -772.031141;     -772.084057;      0.80
        82;         41.0;    137.9;     44.6;     457.96;    0.082666;     -772.113477;     -772.030811;     -772.084126;      0.61
        83;         41.5;    138.7;     44.7;     463.07;    0.083587;     -772.114096;     -772.030509;     -772.084174;      0.47
        84;         42.0;    144.6;     44.4;     462.84;    0.083546;     -772.113714;     -772.030168;     -772.084187;      0.44
