epoch, wall, LR,training_loss_e,training_loss,training_e/N_mae,validation_loss_e,validation_loss,validation_e/N_mae
       210, 11232.069,    0.005,       2.9323e-06,       2.9323e-06,     2.18e-05,       5.9744e-07,       5.9744e-07,        1e-05
       211, 11287.287,    0.005,       6.1982e-06,       6.1982e-06,     3.25e-05,       5.8577e-07,       5.8577e-07,     9.84e-06
       212, 11342.307,    0.005,       2.8598e-06,       2.8598e-06,     2.15e-05,        6.144e-07,        6.144e-07,     1.02e-05
       213, 11397.361,    0.005,        1.779e-06,        1.779e-06,     1.75e-05,       5.7465e-07,       5.7465e-07,     9.96e-06
       214, 11452.166,    0.005,       3.2769e-06,       3.2769e-06,     2.38e-05,       5.5414e-07,       5.5414e-07,     9.94e-06
       215, 11507.299,    0.005,       2.7559e-06,       2.7559e-06,     2.11e-05,         5.68e-07,         5.68e-07,     9.88e-06
       216, 11562.348,    0.005,       5.3781e-06,       5.3781e-06,      3.1e-05,        5.961e-07,        5.961e-07,     1.02e-05
       217, 11617.343,    0.005,       9.8356e-06,       9.8356e-06,     4.11e-05,       7.2245e-07,       7.2245e-07,     1.14e-05
       218, 11672.447,    0.005,       4.6249e-06,       4.6249e-06,     2.69e-05,       7.5024e-07,       7.5024e-07,     1.14e-05
       219, 11727.295,    0.005,       3.7281e-06,       3.7281e-06,     2.55e-05,       6.7047e-07,       6.7047e-07,      1.1e-05
       220, 11782.421,    0.005,       2.5419e-06,       2.5419e-06,     2.11e-05,       6.2108e-07,       6.2108e-07,     1.04e-05
       221, 11837.541,    0.005,       3.1767e-06,       3.1767e-06,     2.31e-05,       6.1092e-07,       6.1092e-07,     1.01e-05
       222, 11892.428,    0.005,       1.2309e-06,       1.2309e-06,     1.42e-05,       5.7127e-07,       5.7127e-07,     9.91e-06
       223, 11947.534,    0.005,       2.6416e-06,       2.6416e-06,     2.16e-05,       5.3178e-07,       5.3178e-07,     9.32e-06
       224, 12002.617,    0.005,       4.0398e-06,       4.0398e-06,     2.52e-05,       5.2677e-07,       5.2677e-07,     9.52e-06
       225, 12057.568,    0.005,        4.105e-05,        4.105e-05,     8.14e-05,       5.6193e-06,       5.6193e-06,     3.53e-05
       226, 12112.848,    0.005,       5.2575e-06,       5.2575e-06,     3.02e-05,       5.8369e-06,       5.8369e-06,     3.65e-05
       227, 12168.108,    0.005,       2.0234e-06,       2.0234e-06,     1.86e-05,       2.8934e-06,       2.8934e-06,     2.46e-05
       228, 12223.076,    0.005,       1.8067e-06,       1.8067e-06,     1.78e-05,       1.6009e-06,       1.6009e-06,     1.73e-05
       229, 12278.090,    0.005,        2.099e-06,        2.099e-06,     1.91e-05,       9.9957e-07,       9.9957e-07,     1.31e-05
       230, 12333.060,    0.005,       6.5535e-06,       6.5535e-06,     3.47e-05,       1.1566e-06,       1.1566e-06,     1.43e-05
       231, 12388.027,    0.005,       3.7428e-06,       3.7428e-06,     2.51e-05,        1.301e-06,        1.301e-06,     1.54e-05
       232, 12443.088,    0.005,       1.1317e-06,       1.1317e-06,     1.35e-05,       9.7777e-07,       9.7777e-07,     1.33e-05
       233, 12498.266,    0.005,        1.321e-06,        1.321e-06,     1.47e-05,       7.3409e-07,       7.3409e-07,     1.13e-05
       234, 12553.198,    0.005,       1.4466e-06,       1.4466e-06,     1.52e-05,       6.3774e-07,       6.3774e-07,     1.05e-05
       235, 12608.237,    0.005,       3.5305e-06,       3.5305e-06,     2.45e-05,       6.3074e-07,       6.3074e-07,     1.03e-05
       236, 12663.394,    0.005,       1.2847e-06,       1.2847e-06,     1.48e-05,       5.6378e-07,       5.6378e-07,     9.77e-06
       237, 12718.390,    0.005,       1.6262e-06,       1.6262e-06,     1.63e-05,       5.2079e-07,       5.2079e-07,     9.45e-06
       238, 12775.874,    0.005,       1.6302e-06,       1.6302e-06,     1.65e-05,        4.977e-07,        4.977e-07,     9.04e-06
       239, 12832.980,    0.005,       9.3638e-07,       9.3638e-07,     1.25e-05,       4.9141e-07,       4.9141e-07,     8.89e-06
       240, 12889.516,    0.005,       9.2233e-07,       9.2233e-07,     1.23e-05,       4.7135e-07,       4.7135e-07,     8.75e-06
       241, 12945.529,    0.005,       1.0235e-06,       1.0235e-06,     1.32e-05,       4.7333e-07,       4.7333e-07,     8.83e-06
       242, 13002.069,    0.005,       1.8097e-06,       1.8097e-06,     1.71e-05,       4.5096e-07,       4.5096e-07,     8.65e-06
       243, 13058.344,    0.005,       1.8516e-06,       1.8516e-06,     1.76e-05,       4.5183e-07,       4.5183e-07,     8.91e-06
       244, 13114.583,    0.005,       1.5806e-06,       1.5806e-06,     1.59e-05,       4.5279e-07,       4.5279e-07,     8.85e-06
       245, 13173.226,    0.005,       1.1174e-06,       1.1174e-06,     1.36e-05,       4.4497e-07,       4.4497e-07,     8.94e-06
       246, 13229.668,    0.005,       1.4593e-06,       1.4593e-06,     1.57e-05,       4.3193e-07,       4.3193e-07,     8.57e-06
       247, 13299.929,    0.005,       1.3005e-06,       1.3005e-06,     1.46e-05,        4.364e-07,        4.364e-07,     8.58e-06
       248, 13370.193,    0.005,       7.4754e-07,       7.4754e-07,     1.13e-05,       4.4316e-07,       4.4316e-07,     8.69e-06
       249, 13440.482,    0.005,       9.8259e-07,       9.8259e-07,     1.31e-05,       4.1923e-07,       4.1923e-07,     8.42e-06
       250, 13510.472,    0.005,       1.1398e-06,       1.1398e-06,     1.38e-05,       4.1632e-07,       4.1632e-07,     8.38e-06
       251, 13580.605,    0.005,       4.1915e-06,       4.1915e-06,     2.56e-05,       4.6083e-07,       4.6083e-07,     8.89e-06
       252, 13652.881,    0.005,       3.7932e-06,       3.7932e-06,     2.48e-05,        5.156e-07,        5.156e-07,      9.4e-06
       253, 13720.706,    0.005,       1.5264e-06,       1.5264e-06,      1.6e-05,       4.8907e-07,       4.8907e-07,     8.94e-06
       254, 13777.409,    0.005,       1.2595e-06,       1.2595e-06,      1.4e-05,       4.7733e-07,       4.7733e-07,     8.95e-06
       255, 13832.930,    0.005,        2.181e-06,        2.181e-06,      1.9e-05,       4.5468e-07,       4.5468e-07,     8.84e-06
       256, 13889.130,    0.005,       1.6416e-06,       1.6416e-06,     1.64e-05,        4.414e-07,        4.414e-07,      8.6e-06
       257, 13945.641,    0.005,       3.3022e-06,       3.3022e-06,     2.38e-05,       4.5017e-07,       4.5017e-07,     8.75e-06
       258, 14002.038,    0.005,       9.7019e-06,       9.7019e-06,     3.97e-05,       6.0455e-07,       6.0455e-07,     1.02e-05
       259, 14058.331,    0.005,       2.2111e-06,       2.2111e-06,      1.9e-05,        5.376e-07,        5.376e-07,     9.54e-06
       260, 14114.412,    0.005,       1.6328e-06,       1.6328e-06,     1.72e-05,       5.0147e-07,       5.0147e-07,     9.02e-06
       261, 14171.247,    0.005,       2.5325e-06,       2.5325e-06,     2.06e-05,       4.9787e-07,       4.9787e-07,      9.1e-06
       262, 14228.432,    0.005,       4.6846e-06,       4.6846e-06,     2.82e-05,       4.7383e-07,       4.7383e-07,     8.76e-06
       263, 14284.834,    0.005,       1.7122e-05,       1.7122e-05,     5.36e-05,       7.9635e-07,       7.9635e-07,     1.15e-05
       264, 14341.149,    0.005,       2.1182e-05,       2.1182e-05,     5.89e-05,       1.3305e-06,       1.3305e-06,     1.42e-05
       265, 14397.562,    0.005,        3.761e-05,        3.761e-05,     8.11e-05,       1.9521e-06,       1.9521e-06,      1.7e-05
       266, 14455.187,    0.005,       7.4194e-06,       7.4194e-06,     3.42e-05,       1.6331e-06,       1.6331e-06,     1.62e-05
       267, 14512.848,    0.005,       1.4346e-06,       1.4346e-06,     1.58e-05,       1.1547e-06,       1.1547e-06,     1.36e-05
       268, 14569.097,    0.005,       1.4858e-06,       1.4858e-06,     1.57e-05,       8.4882e-07,       8.4882e-07,     1.18e-05
       269, 14625.980,    0.005,       1.3125e-06,       1.3125e-06,     1.52e-05,       7.1981e-07,       7.1981e-07,     1.06e-05
       270, 14682.976,    0.005,       7.4685e-07,       7.4685e-07,     1.14e-05,       6.2103e-07,       6.2103e-07,     1.02e-05
       271, 14739.605,    0.005,       7.8687e-07,       7.8687e-07,     1.12e-05,       5.4145e-07,       5.4145e-07,     9.45e-06
       272, 14795.886,    0.005,       1.0173e-06,       1.0173e-06,     1.32e-05,       5.1759e-07,       5.1759e-07,     9.21e-06
       273, 14852.388,    0.005,       1.0608e-06,       1.0608e-06,     1.31e-05,       4.7741e-07,       4.7741e-07,     8.87e-06
       274, 14908.461,    0.005,       2.0838e-06,       2.0838e-06,     1.79e-05,       4.6315e-07,       4.6315e-07,     8.76e-06
       275, 14964.140,    0.005,       2.2347e-06,       2.2347e-06,     1.86e-05,       4.3945e-07,       4.3945e-07,     8.57e-06
       276, 15019.920,    0.005,       1.2406e-06,       1.2406e-06,     1.46e-05,       4.8545e-07,       4.8545e-07,     8.91e-06
       277, 15075.909,    0.005,       5.4282e-07,       5.4282e-07,     9.55e-06,       4.3517e-07,       4.3517e-07,     8.56e-06
       278, 15134.168,    0.005,       4.4309e-07,       4.4309e-07,     8.62e-06,       4.0353e-07,       4.0353e-07,     8.11e-06
       279, 15190.610,    0.005,       1.5725e-06,       1.5725e-06,     1.55e-05,       3.8584e-07,       3.8584e-07,     7.88e-06
       280, 15246.754,    0.005,        1.809e-05,        1.809e-05,     5.46e-05,       6.5094e-07,       6.5094e-07,     1.03e-05
       281, 15302.681,    0.005,       8.5898e-06,       8.5898e-06,     3.58e-05,       7.2178e-07,       7.2178e-07,     1.09e-05
       282, 15358.933,    0.005,       1.7277e-06,       1.7277e-06,     1.75e-05,       6.3811e-07,       6.3811e-07,     1.02e-05
       283, 15414.663,    0.005,        2.002e-06,        2.002e-06,     1.83e-05,       5.8473e-07,       5.8473e-07,     9.87e-06
       284, 15470.427,    0.005,       9.0865e-07,       9.0865e-07,     1.25e-05,       5.2123e-07,       5.2123e-07,     9.27e-06
       285, 15526.447,    0.005,       1.0253e-06,       1.0253e-06,      1.3e-05,       4.8672e-07,       4.8672e-07,     8.96e-06
       286, 15582.673,    0.005,       1.4792e-06,       1.4792e-06,     1.55e-05,       4.5591e-07,       4.5591e-07,     8.53e-06
       287, 15639.949,    0.005,       9.0251e-07,       9.0251e-07,     1.24e-05,       4.2616e-07,       4.2616e-07,     8.36e-06
       288, 15696.082,    0.005,       6.1278e-07,       6.1278e-07,     1.02e-05,       4.0692e-07,       4.0692e-07,     8.11e-06
       289, 15752.940,    0.005,        9.947e-07,        9.947e-07,     1.32e-05,       4.0292e-07,       4.0292e-07,     8.18e-06
       290, 15809.073,    0.005,       1.6916e-06,       1.6916e-06,     1.72e-05,       4.1501e-07,       4.1501e-07,     8.21e-06
       291, 15866.361,    0.005,         2.18e-06,         2.18e-06,     1.89e-05,       4.0845e-07,       4.0845e-07,     8.26e-06
       292, 15922.897,    0.005,       2.9911e-06,       2.9911e-06,     2.16e-05,       4.2006e-07,       4.2006e-07,     8.27e-06
       293, 15978.907,    0.005,        3.828e-06,        3.828e-06,     2.54e-05,       4.7277e-07,       4.7277e-07,     9.04e-06
       294, 16035.104,    0.005,        1.501e-06,        1.501e-06,     1.63e-05,       4.5301e-07,       4.5301e-07,     8.69e-06
       295, 16091.147,    0.005,       1.5539e-06,       1.5539e-06,     1.61e-05,       4.3458e-07,       4.3458e-07,     8.47e-06
       296, 16147.374,    0.005,       9.2155e-07,       9.2155e-07,     1.25e-05,       3.9442e-07,       3.9442e-07,     8.11e-06
       297, 16203.699,    0.005,       1.6047e-06,       1.6047e-06,      1.5e-05,       3.8439e-07,       3.8439e-07,     8.05e-06
       298, 16260.552,    0.005,       5.1855e-06,       5.1855e-06,     2.91e-05,       4.0132e-07,       4.0132e-07,     8.26e-06
       299, 16316.880,    0.005,       1.7704e-06,       1.7704e-06,     1.68e-05,       4.1886e-07,       4.1886e-07,     8.29e-06
       300, 16372.653,    0.005,       8.9407e-07,       8.9407e-07,     1.24e-05,       3.8745e-07,       3.8745e-07,     8.03e-06
       301, 16428.669,    0.005,       5.7954e-07,       5.7954e-07,     9.85e-06,       3.6185e-07,       3.6185e-07,     7.64e-06
       302, 16484.296,    0.005,        1.035e-06,        1.035e-06,     1.33e-05,       3.4326e-07,       3.4326e-07,     7.64e-06
       303, 16540.467,    0.005,        7.259e-07,        7.259e-07,      1.1e-05,       3.4172e-07,       3.4172e-07,     7.54e-06
       304, 16596.546,    0.005,       9.1768e-07,       9.1768e-07,     1.23e-05,       3.3933e-07,       3.3933e-07,     7.52e-06
       305, 16652.705,    0.005,       2.5482e-06,       2.5482e-06,     1.95e-05,       3.4577e-07,       3.4577e-07,     7.54e-06
       306, 16709.415,    0.005,         3.74e-06,         3.74e-06,     2.54e-05,       4.1362e-07,       4.1362e-07,     8.47e-06
       307, 16766.800,    0.005,       4.0241e-06,       4.0241e-06,     2.69e-05,       4.3132e-07,       4.3132e-07,     8.44e-06
       308, 16822.904,    0.005,       2.2126e-06,       2.2126e-06,     1.94e-05,       4.1236e-07,       4.1236e-07,     8.34e-06
       309, 16879.256,    0.005,       3.3372e-06,       3.3372e-06,     2.32e-05,        3.991e-07,        3.991e-07,     8.03e-06
       310, 16935.503,    0.005,       1.9684e-06,       1.9684e-06,     1.77e-05,       4.1722e-07,       4.1722e-07,     8.21e-06
       311, 16991.889,    0.005,       9.1779e-07,       9.1779e-07,     1.21e-05,       3.8485e-07,       3.8485e-07,     7.84e-06
       312, 17048.050,    0.005,       1.2656e-06,       1.2656e-06,     1.47e-05,       3.7945e-07,       3.7945e-07,     7.79e-06
       313, 17104.397,    0.005,       2.7069e-06,       2.7069e-06,      2.1e-05,       4.1056e-07,       4.1056e-07,     8.08e-06
       314, 17160.650,    0.005,       1.1982e-06,       1.1982e-06,     1.45e-05,       3.9709e-07,       3.9709e-07,     7.86e-06
       315, 17216.832,    0.005,       1.2378e-06,       1.2378e-06,     1.41e-05,       3.9453e-07,       3.9453e-07,     7.88e-06
       316, 17272.937,    0.005,       1.4319e-06,       1.4319e-06,     1.53e-05,       3.5779e-07,       3.5779e-07,     7.56e-06
       317, 17328.924,    0.005,       1.3892e-06,       1.3892e-06,     1.46e-05,       3.4845e-07,       3.4845e-07,     7.49e-06
       318, 17385.990,    0.005,       2.6562e-06,       2.6562e-06,     2.13e-05,       3.8465e-07,       3.8465e-07,     7.79e-06
       319, 17441.933,    0.005,       1.4225e-06,       1.4225e-06,     1.53e-05,       3.5511e-07,       3.5511e-07,     7.33e-06
       320, 17497.687,    0.005,       7.8277e-06,       7.8277e-06,      3.2e-05,       4.5272e-07,       4.5272e-07,     8.58e-06
       321, 17553.870,    0.005,       4.0334e-06,       4.0334e-06,     2.52e-05,       5.3699e-07,       5.3699e-07,     9.14e-06
       322, 17609.592,    0.005,       1.8356e-06,       1.8356e-06,     1.75e-05,       4.8314e-07,       4.8314e-07,     8.71e-06
       323, 17666.869,    0.005,       3.8954e-06,       3.8954e-06,     2.58e-05,       4.4332e-07,       4.4332e-07,     8.61e-06
       324, 17725.139,    0.005,       1.4834e-06,       1.4834e-06,     1.56e-05,       4.3533e-07,       4.3533e-07,     8.43e-06
       325, 17781.746,    0.005,       1.9348e-06,       1.9348e-06,     1.82e-05,       3.5707e-07,       3.5707e-07,     7.43e-06
       326, 17837.356,    0.005,       4.2597e-06,       4.2597e-06,     2.69e-05,       4.1603e-07,       4.1603e-07,     8.18e-06
       327, 17896.234,    0.005,       4.9478e-06,       4.9478e-06,     2.94e-05,       4.3911e-07,       4.3911e-07,      8.4e-06
       328, 17952.753,    0.005,       9.7421e-06,       9.7421e-06,     3.81e-05,       5.4335e-07,       5.4335e-07,     9.17e-06
       329, 18008.731,    0.005,       2.1439e-05,       2.1439e-05,     5.84e-05,       7.9862e-07,       7.9862e-07,     1.12e-05
       330, 18065.083,    0.005,       1.0454e-05,       1.0454e-05,     3.85e-05,       9.1291e-07,       9.1291e-07,     1.24e-05
       331, 18121.806,    0.005,       1.7438e-06,       1.7438e-06,      1.7e-05,       7.3802e-07,       7.3802e-07,      1.1e-05
       332, 18177.828,    0.005,       1.3495e-06,       1.3495e-06,     1.52e-05,       5.8067e-07,       5.8067e-07,     9.79e-06
       333, 18234.021,    0.005,       9.5291e-07,       9.5291e-07,     1.28e-05,       4.5938e-07,       4.5938e-07,     8.74e-06
       334, 18289.949,    0.005,       8.9757e-07,       8.9757e-07,     1.22e-05,       4.2505e-07,       4.2505e-07,     8.41e-06
       335, 18345.936,    0.005,        4.809e-07,        4.809e-07,     9.11e-06,       4.0339e-07,       4.0339e-07,     8.01e-06
       336, 18401.646,    0.005,       4.0007e-07,       4.0007e-07,     8.15e-06,       3.8704e-07,       3.8704e-07,     7.89e-06
       337, 18458.860,    0.005,       1.7832e-06,       1.7832e-06,     1.62e-05,        3.911e-07,        3.911e-07,     7.74e-06
       338, 18515.939,    0.005,       7.5739e-06,       7.5739e-06,      3.6e-05,       4.5058e-07,       4.5058e-07,     8.57e-06
       339, 18572.371,    0.005,        7.991e-06,        7.991e-06,     3.74e-05,        4.952e-07,        4.952e-07,     8.94e-06
       340, 18630.332,    0.005,        1.748e-06,        1.748e-06,     1.71e-05,        5.115e-07,        5.115e-07,        9e-06
       341, 18686.793,    0.005,       8.7855e-07,       8.7855e-07,     1.21e-05,       4.8926e-07,       4.8926e-07,     8.56e-06
       342, 18742.830,    0.005,       3.1665e-06,       3.1665e-06,     2.13e-05,       4.6311e-07,       4.6311e-07,     8.25e-06
       343, 18798.922,    0.005,       1.9794e-06,       1.9794e-06,     1.81e-05,       4.9884e-07,       4.9884e-07,     8.53e-06
       344, 18857.297,    0.005,       1.2653e-06,       1.2653e-06,     1.47e-05,       4.7068e-07,       4.7068e-07,     8.39e-06
       345, 18913.848,    0.005,       9.2831e-07,       9.2831e-07,     1.24e-05,       4.4489e-07,       4.4489e-07,     8.17e-06
       346, 18969.582,    0.005,       5.8408e-06,       5.8408e-06,     2.86e-05,       5.3414e-07,       5.3414e-07,     8.84e-06
       347, 19025.513,    0.005,       3.2305e-06,       3.2305e-06,     2.32e-05,       5.7821e-07,       5.7821e-07,     9.19e-06
       348, 19082.470,    0.005,       1.3865e-06,       1.3865e-06,     1.55e-05,       4.9984e-07,       4.9984e-07,     8.74e-06
       349, 19138.452,    0.005,       6.2507e-07,       6.2507e-07,     1.03e-05,       4.4256e-07,       4.4256e-07,     8.06e-06
       350, 19195.939,    0.005,       6.6051e-07,       6.6051e-07,     1.03e-05,       3.9038e-07,       3.9038e-07,     7.62e-06
       351, 19251.768,    0.005,       1.1287e-06,       1.1287e-06,     1.36e-05,       3.6899e-07,       3.6899e-07,     7.19e-06
       352, 19311.426,    0.005,       8.1784e-07,       8.1784e-07,     1.19e-05,       3.6609e-07,       3.6609e-07,     7.19e-06
       353, 19368.563,    0.005,       5.0904e-07,       5.0904e-07,     9.42e-06,        3.354e-07,        3.354e-07,     6.91e-06
       354, 19425.090,    0.005,       4.5818e-07,       4.5818e-07,     8.84e-06,       3.4082e-07,       3.4082e-07,     7.15e-06
       355, 19481.629,    0.005,       5.4038e-07,       5.4038e-07,     9.65e-06,       3.3542e-07,       3.3542e-07,     7.02e-06
       356, 19538.290,    0.005,       4.3491e-07,       4.3491e-07,     8.52e-06,       3.2431e-07,       3.2431e-07,     6.94e-06
       357, 19594.560,    0.005,       4.3082e-07,       4.3082e-07,      8.6e-06,       3.2563e-07,       3.2563e-07,     6.85e-06
       358, 19651.226,    0.005,       4.2576e-07,       4.2576e-07,     8.64e-06,       3.0195e-07,       3.0195e-07,     6.55e-06
       359, 19707.204,    0.005,       4.0468e-07,       4.0468e-07,     8.19e-06,       2.9547e-07,       2.9547e-07,     6.29e-06
       360, 19764.036,    0.005,       5.2835e-07,       5.2835e-07,      9.3e-06,       3.0277e-07,       3.0277e-07,     6.39e-06
       361, 19820.229,    0.005,       1.6203e-06,       1.6203e-06,     1.43e-05,       3.0453e-07,       3.0453e-07,     6.54e-06
       362, 19876.753,    0.005,       3.8729e-05,       3.8729e-05,     8.01e-05,       8.8339e-07,       8.8339e-07,      1.2e-05
       363, 19933.304,    0.005,       2.5913e-05,       2.5913e-05,      6.3e-05,       1.4805e-06,       1.4805e-06,      1.6e-05
       364, 19989.731,    0.005,       5.1863e-06,       5.1863e-06,        3e-05,        1.197e-06,        1.197e-06,     1.42e-05
       365, 20046.384,    0.005,       2.7037e-06,       2.7037e-06,     1.98e-05,       8.6786e-07,       8.6786e-07,     1.18e-05
       366, 20101.913,    0.005,       1.3752e-06,       1.3752e-06,      1.5e-05,       6.8306e-07,       6.8306e-07,     1.03e-05
       367, 20158.598,    0.005,       1.0697e-06,       1.0697e-06,     1.35e-05,       5.7034e-07,       5.7034e-07,     9.45e-06
       368, 20214.811,    0.005,       6.7074e-07,       6.7074e-07,     1.05e-05,       4.9391e-07,       4.9391e-07,     8.86e-06
       369, 20270.919,    0.005,       6.7243e-07,       6.7243e-07,     1.06e-05,       4.4502e-07,       4.4502e-07,     8.52e-06
       370, 20327.353,    0.005,       4.0376e-07,       4.0376e-07,     8.19e-06,       4.1005e-07,       4.1005e-07,     7.91e-06
       371, 20384.556,    0.005,       4.3601e-07,       4.3601e-07,     8.48e-06,       3.9254e-07,       3.9254e-07,     7.86e-06
       372, 20440.963,    0.005,       7.9066e-07,       7.9066e-07,     1.17e-05,       3.8764e-07,       3.8764e-07,     7.75e-06
       373, 20497.485,    0.005,       7.8239e-07,       7.8239e-07,     1.15e-05,       3.6138e-07,       3.6138e-07,     7.53e-06
       374, 20553.815,    0.005,       6.7277e-07,       6.7277e-07,     1.03e-05,       3.4373e-07,       3.4373e-07,     7.37e-06
       375, 20609.823,    0.005,       4.1867e-07,       4.1867e-07,     8.34e-06,       3.3779e-07,       3.3779e-07,     7.19e-06
       376, 20665.776,    0.005,       5.9321e-07,       5.9321e-07,     1.01e-05,       3.4203e-07,       3.4203e-07,      7.3e-06
       377, 20721.760,    0.005,       5.8558e-07,       5.8558e-07,     9.91e-06,       3.4544e-07,       3.4544e-07,      7.3e-06
       378, 20777.775,    0.005,       6.0369e-07,       6.0369e-07,     9.67e-06,       3.4033e-07,       3.4033e-07,     7.36e-06
       379, 20834.835,    0.005,       6.1484e-07,       6.1484e-07,     1.02e-05,       3.4445e-07,       3.4445e-07,     7.25e-06
       380, 20890.901,    0.005,       3.7572e-07,       3.7572e-07,     7.78e-06,       3.2326e-07,       3.2326e-07,     7.09e-06
       381, 20946.697,    0.005,       1.0908e-06,       1.0908e-06,     1.31e-05,       3.3302e-07,       3.3302e-07,     7.08e-06
       382, 21002.534,    0.005,       7.3302e-07,       7.3302e-07,     1.11e-05,        3.353e-07,        3.353e-07,     7.16e-06
       383, 21058.523,    0.005,       1.0714e-06,       1.0714e-06,     1.28e-05,       3.3408e-07,       3.3408e-07,     7.07e-06
       384, 21113.854,    0.005,       5.3491e-07,       5.3491e-07,     9.47e-06,       3.0979e-07,       3.0979e-07,     6.74e-06
       385, 21169.678,    0.005,        3.612e-07,        3.612e-07,     7.87e-06,       2.9821e-07,       2.9821e-07,     6.49e-06
       386, 21226.197,    0.005,       4.2355e-07,       4.2355e-07,     8.02e-06,        2.938e-07,        2.938e-07,      6.6e-06
       387, 21286.363,    0.005,        6.333e-07,        6.333e-07,     1.01e-05,       2.9047e-07,       2.9047e-07,     6.72e-06
       388, 21343.419,    0.005,       9.7209e-07,       9.7209e-07,     1.24e-05,       2.7652e-07,       2.7652e-07,     6.32e-06
       389, 21401.603,    0.005,       3.2473e-06,       3.2473e-06,     2.26e-05,       3.2835e-07,       3.2835e-07,     7.17e-06
       390, 21458.110,    0.005,       4.6073e-06,       4.6073e-06,     2.78e-05,       3.5396e-07,       3.5396e-07,     7.15e-06
       391, 21514.682,    0.005,       1.4348e-06,       1.4348e-06,     1.57e-05,       3.0649e-07,       3.0649e-07,     6.74e-06
       392, 21571.274,    0.005,       1.1393e-06,       1.1393e-06,     1.37e-05,       2.9949e-07,       2.9949e-07,     6.75e-06
       393, 21627.898,    0.005,       6.8251e-07,       6.8251e-07,     1.06e-05,        2.889e-07,        2.889e-07,     6.67e-06
       394, 21684.120,    0.005,       6.9819e-07,       6.9819e-07,     1.04e-05,       2.7676e-07,       2.7676e-07,      6.5e-06
       395, 21741.593,    0.005,       5.8422e-07,       5.8422e-07,        1e-05,       3.0576e-07,       3.0576e-07,     6.82e-06
       396, 21797.418,    0.005,       5.7085e-07,       5.7085e-07,     9.85e-06,       2.8375e-07,       2.8375e-07,     6.79e-06
       397, 21853.017,    0.005,       7.6892e-07,       7.6892e-07,     1.16e-05,       2.9485e-07,       2.9485e-07,     6.66e-06
       398, 21908.212,    0.005,       6.6096e-07,       6.6096e-07,     1.08e-05,       2.7464e-07,       2.7464e-07,     6.39e-06
       399, 21963.319,    0.005,       7.5256e-07,       7.5256e-07,     1.09e-05,        2.907e-07,        2.907e-07,     6.62e-06
       400, 22018.241,    0.005,       2.7953e-06,       2.7953e-06,     1.94e-05,       2.8116e-07,       2.8116e-07,     6.75e-06
       401, 22073.495,    0.005,       4.8772e-06,       4.8772e-06,     2.84e-05,       3.3528e-07,       3.3528e-07,     7.26e-06
       402, 22128.805,    0.005,       1.8027e-06,       1.8027e-06,     1.67e-05,        3.486e-07,        3.486e-07,     7.38e-06
       403, 22183.845,    0.005,       7.3849e-06,       7.3849e-06,      3.6e-05,       5.2206e-07,       5.2206e-07,     9.27e-06
       404, 22238.948,    0.005,       6.5777e-06,       6.5777e-06,     3.29e-05,       6.0829e-07,       6.0829e-07,     9.73e-06
       405, 22293.824,    0.005,       1.3804e-06,       1.3804e-06,      1.5e-05,       5.2735e-07,       5.2735e-07,     8.87e-06
       406, 22348.941,    0.005,       1.0493e-06,       1.0493e-06,     1.34e-05,       4.3869e-07,       4.3869e-07,     8.26e-06
       407, 22404.151,    0.005,       1.9047e-06,       1.9047e-06,     1.65e-05,        3.922e-07,        3.922e-07,     7.74e-06
       408, 22459.188,    0.005,       7.0589e-06,       7.0589e-06,     3.34e-05,       4.8278e-07,       4.8278e-07,     8.92e-06
       409, 22514.440,    0.005,       2.3407e-06,       2.3407e-06,     2.02e-05,       4.5733e-07,       4.5733e-07,     8.55e-06
       410, 22569.425,    0.005,       1.0131e-06,       1.0131e-06,      1.3e-05,        4.205e-07,        4.205e-07,     7.87e-06
       411, 22624.631,    0.005,       1.4006e-06,       1.4006e-06,     1.42e-05,       3.6455e-07,       3.6455e-07,     7.65e-06
       412, 22679.692,    0.005,       4.8977e-07,       4.8977e-07,     8.95e-06,       3.3445e-07,       3.3445e-07,     7.29e-06
       413, 22734.915,    0.005,       4.5231e-07,       4.5231e-07,     8.62e-06,       3.1757e-07,       3.1757e-07,     6.91e-06
       414, 22789.945,    0.005,       6.0151e-07,       6.0151e-07,     9.96e-06,       3.0448e-07,       3.0448e-07,     6.85e-06
       415, 22844.778,    0.005,        6.592e-07,        6.592e-07,     1.05e-05,       3.0659e-07,       3.0659e-07,     6.71e-06
       416, 22899.897,    0.005,       5.6404e-07,       5.6404e-07,     9.68e-06,       2.9041e-07,       2.9041e-07,     6.49e-06
       417, 22954.953,    0.005,       4.0589e-07,       4.0589e-07,     8.24e-06,       3.1129e-07,       3.1129e-07,     6.67e-06
       418, 23010.287,    0.005,        5.447e-07,        5.447e-07,     9.68e-06,       2.9838e-07,       2.9838e-07,     6.55e-06
       419, 23065.498,    0.005,       5.4935e-07,       5.4935e-07,     9.72e-06,       2.8607e-07,       2.8607e-07,     6.43e-06
       420, 23120.351,    0.005,        1.711e-06,        1.711e-06,     1.66e-05,       2.8539e-07,       2.8539e-07,     6.42e-06
       421, 23175.430,    0.005,       4.7135e-06,       4.7135e-06,     2.48e-05,       3.7217e-07,       3.7217e-07,     7.11e-06
