epoch, wall, LR,training_loss_e,training_loss,training_e/N_mae,validation_loss_e,validation_loss,validation_e/N_mae
        52, 2698.634,    0.005,       1.3603e-05,       1.3603e-05,     4.56e-05,       6.1153e-06,       6.1153e-06,     2.96e-05
        53, 2752.703,    0.005,       1.9645e-05,       1.9645e-05,     5.59e-05,       6.0429e-06,       6.0429e-06,     2.99e-05
        54, 2806.362,    0.005,       9.9995e-06,       9.9995e-06,     4.07e-05,       5.8632e-06,       5.8632e-06,     2.95e-05
        55, 2858.023,    0.005,       8.1449e-06,       8.1449e-06,     3.46e-05,       5.5071e-06,       5.5071e-06,     2.85e-05
        56, 2910.608,    0.005,       1.2232e-05,       1.2232e-05,     4.51e-05,       5.2538e-06,       5.2538e-06,     2.82e-05
        57, 2962.357,    0.005,       1.9062e-05,       1.9062e-05,     5.62e-05,       5.1702e-06,       5.1702e-06,      2.8e-05
        58, 3015.382,    0.005,       1.6437e-05,       1.6437e-05,     5.25e-05,       5.3476e-06,       5.3476e-06,     2.88e-05
        59, 3067.511,    0.005,       9.1255e-06,       9.1255e-06,     3.91e-05,       5.1481e-06,       5.1481e-06,     2.82e-05
        60, 3119.604,    0.005,       9.0881e-06,       9.0881e-06,     3.91e-05,       4.8297e-06,       4.8297e-06,     2.76e-05
        61, 3171.877,    0.005,       1.3109e-05,       1.3109e-05,     4.87e-05,       4.6716e-06,       4.6716e-06,     2.67e-05
        62, 3224.209,    0.005,       1.0935e-05,       1.0935e-05,     4.25e-05,        4.538e-06,        4.538e-06,     2.65e-05
        63, 3277.163,    0.005,       9.9181e-06,       9.9181e-06,     4.04e-05,       4.5442e-06,       4.5442e-06,     2.67e-05
        64, 3329.359,    0.005,       7.0284e-06,       7.0284e-06,     3.45e-05,       4.2932e-06,       4.2932e-06,     2.59e-05
        65, 3381.335,    0.005,       9.9814e-06,       9.9814e-06,     4.14e-05,       4.2855e-06,       4.2855e-06,     2.58e-05
        66, 3433.566,    0.005,       1.4721e-05,       1.4721e-05,     5.05e-05,       4.1972e-06,       4.1972e-06,     2.53e-05
