epoch, batch, loss, loss_e, e/N_mae
    1,     1,         0.012847,         0.012847,        0.0017672
    1,     2,         0.020311,         0.020311,        0.0023384
    1,     3,        0.0077859,        0.0077859,        0.0013993
    1,     4,       0.00038503,       0.00038503,       0.00021705
    1,     5,        0.0053449,        0.0053449,        0.0010542
    1,     6,        0.0059667,        0.0059667,        0.0012083
    1,     7,        0.0046055,        0.0046055,         0.001091
    1,     8,       0.00067016,       0.00067016,       0.00038977
    1,     9,        0.0008707,        0.0008707,       0.00034158
    1,    10,         0.002508,         0.002508,       0.00073114
    1,    11,        0.0040132,        0.0040132,       0.00099541
    1,    12,        0.0043777,        0.0043777,        0.0010041
    1,    13,        0.0022632,        0.0022632,       0.00075823
    1,    14,        0.0004292,        0.0004292,       0.00026973
    1,    15,       0.00054417,       0.00054417,       0.00031749
    1,    16,        0.0018086,        0.0018086,       0.00062684
    1,    17,        0.0031154,        0.0031154,       0.00084475
    1,    18,        0.0031241,        0.0031241,       0.00087152
    1,    19,        0.0013554,        0.0013554,       0.00050327
    1,    20,       0.00060577,       0.00060577,       0.00038077
    1,    21,       0.00037998,       0.00037998,       0.00021105
    1,    22,         0.002169,         0.002169,        0.0007064
    1,    23,        0.0013487,        0.0013487,       0.00049792
    1,    24,        0.0012383,        0.0012383,        0.0004643
    1,    25,        0.0013168,        0.0013168,       0.00049621
    1,    26,       0.00064562,       0.00064562,       0.00036203
    1,    27,       0.00049414,       0.00049414,       0.00033291
    1,    28,        0.0010962,        0.0010962,       0.00043881
    1,    29,        0.0008938,        0.0008938,       0.00038913
    1,    30,        0.0026848,        0.0026848,       0.00068595
    1,    31,       0.00045199,       0.00045199,        0.0002874
    1,    32,       0.00066995,       0.00066995,       0.00032574
    1,    33,       0.00051469,       0.00051469,       0.00030903
    1,    34,       0.00071103,       0.00071103,       0.00033912
    1,    35,       0.00027645,       0.00027645,       0.00021898
    1,    36,        0.0011226,        0.0011226,       0.00038602
    1,    37,        0.0010318,        0.0010318,       0.00041911
    1,    38,       0.00048412,       0.00048412,       0.00028504
    1,    39,       0.00097288,       0.00097288,        0.0003721
    1,    40,       0.00064414,       0.00064414,       0.00034597
    1,    41,       0.00049378,       0.00049378,        0.0002844
    1,    42,        0.0006904,        0.0006904,       0.00035036
    1,    43,       0.00059736,       0.00059736,        0.0003343
    1,    44,       0.00060757,       0.00060757,       0.00035315
    1,    45,       0.00042071,       0.00042071,       0.00026727
    1,    46,       0.00079052,       0.00079052,        0.0003131
    1,    47,        0.0005854,        0.0005854,       0.00027701
    1,    48,        0.0012055,        0.0012055,       0.00050595
    2,     1,       0.00047783,       0.00047783,       0.00025281
    2,     2,       0.00038858,       0.00038858,       0.00024628
    2,     3,       0.00054972,       0.00054972,       0.00030036
    2,     4,        0.0002512,        0.0002512,       0.00020227
    2,     5,       0.00057336,       0.00057336,       0.00030999
    2,     6,       0.00033398,       0.00033398,       0.00023739
    2,     7,        0.0010061,        0.0010061,       0.00041557
    2,     8,       0.00036379,       0.00036379,       0.00024307
    2,     9,       0.00049063,       0.00049063,       0.00030421
    2,    10,        0.0012088,        0.0012088,       0.00040583
    2,    11,       0.00062325,       0.00062325,       0.00033559
    2,    12,       0.00048919,       0.00048919,       0.00028847
    2,    13,       0.00037799,       0.00037799,       0.00024264
    2,    14,       0.00028036,       0.00028036,       0.00019264
    2,    15,       0.00031677,       0.00031677,       0.00024039
    2,    16,       0.00045076,       0.00045076,       0.00029543
    2,    17,        0.0013193,        0.0013193,       0.00040861
    2,    18,       0.00054881,       0.00054881,       0.00028547
    2,    19,        0.0010135,        0.0010135,       0.00037992
    2,    20,        0.0010019,        0.0010019,       0.00042189
    2,    21,        0.0004795,        0.0004795,       0.00029875
    2,    22,       0.00072197,       0.00072197,       0.00035079
    2,    23,       0.00062554,       0.00062554,       0.00034212
    2,    24,       0.00043306,       0.00043306,       0.00025763
    2,    25,        0.0007787,        0.0007787,       0.00034833
    2,    26,       0.00081142,       0.00081142,       0.00033858
    2,    27,        0.0005436,        0.0005436,       0.00029607
    2,    28,         0.000449,         0.000449,       0.00027808
    2,    29,        0.0012284,        0.0012284,       0.00045594
    2,    30,         0.001209,         0.001209,       0.00042478
    2,    31,       0.00068661,       0.00068661,       0.00033741
    2,    32,       0.00071767,       0.00071767,       0.00038913
    2,    33,        0.0010158,        0.0010158,       0.00038516
    2,    34,       0.00047234,       0.00047234,       0.00031064
    2,    35,        0.0007376,        0.0007376,       0.00032177
    2,    36,       0.00032102,       0.00032102,       0.00024682
    2,    37,       0.00038569,       0.00038569,       0.00024253
    2,    38,        0.0011796,        0.0011796,       0.00041172
    2,    39,        0.0002313,        0.0002313,       0.00020302
    2,    40,       0.00063848,       0.00063848,       0.00028944
    2,    41,       0.00026055,       0.00026055,       0.00020741
    2,    42,       0.00089892,       0.00089892,       0.00037103
    2,    43,        0.0010003,        0.0010003,       0.00034201
    2,    44,       0.00055311,       0.00055311,       0.00028183
    2,    45,       0.00066211,       0.00066211,       0.00035176
    2,    46,       0.00065049,       0.00065049,       0.00032124
    2,    47,       0.00059185,       0.00059185,       0.00027123
    2,    48,         0.001051,         0.001051,       0.00037986
    3,     1,       0.00050105,       0.00050105,       0.00026855
    3,     2,       0.00034138,       0.00034138,       0.00021673
    3,     3,        0.0010125,        0.0010125,       0.00034608
    3,     4,       0.00062736,       0.00062736,       0.00037446
    3,     5,        0.0006079,        0.0006079,       0.00031278
    3,     6,       0.00040779,       0.00040779,       0.00021073
    3,     7,       0.00060741,       0.00060741,       0.00033302
    3,     8,       0.00057822,       0.00057822,       0.00034662
    3,     9,       0.00027853,       0.00027853,       0.00019446
    3,    10,       0.00039805,       0.00039805,       0.00026866
    3,    11,        0.0006248,        0.0006248,       0.00030453
    3,    12,       0.00052133,       0.00052133,       0.00029575
    3,    13,       0.00030095,       0.00030095,       0.00021534
    3,    14,       0.00081457,       0.00081457,       0.00035754
    3,    15,       0.00048274,       0.00048274,        0.0002753
    3,    16,       0.00042757,       0.00042757,       0.00026406
    3,    17,       0.00047372,       0.00047372,       0.00028847
    3,    18,       0.00080943,       0.00080943,       0.00036482
    3,    19,       0.00064824,       0.00064824,       0.00036878
    3,    20,         0.002688,         0.002688,       0.00069441
    3,    21,       0.00062995,       0.00062995,       0.00036471
    3,    22,       0.00072275,       0.00072275,       0.00032563
    3,    23,        0.0010758,        0.0010758,       0.00043549
    3,    24,         0.001078,         0.001078,       0.00043496
    3,    25,       0.00042873,       0.00042873,       0.00028869
    3,    26,       0.00080247,       0.00080247,       0.00039095
    3,    27,       0.00097488,       0.00097488,       0.00041043
    3,    28,       0.00091603,       0.00091603,        0.0004069
    3,    29,       0.00066971,       0.00066971,       0.00036782
    3,    30,       0.00065804,       0.00065804,        0.0003282
    3,    31,       0.00066417,       0.00066417,       0.00032713
    3,    32,       0.00090808,       0.00090808,       0.00029126
    3,    33,        0.0003952,        0.0003952,       0.00028569
    3,    34,       0.00058996,       0.00058996,       0.00028419
    3,    35,        0.0007135,        0.0007135,       0.00035165
    3,    36,       0.00015146,       0.00015146,       0.00016758
    3,    37,       0.00041548,       0.00041548,       0.00027948
    3,    38,       0.00039056,       0.00039056,        0.0002829
    3,    39,       0.00028819,       0.00028819,        0.0002133
    3,    40,        0.0015563,        0.0015563,       0.00047757
    3,    41,       0.00026177,       0.00026177,       0.00023043
    3,    42,       0.00043131,       0.00043131,       0.00026534
    3,    43,       0.00071058,       0.00071058,       0.00036268
    3,    44,        0.0004975,        0.0004975,       0.00029136
    3,    45,       0.00047161,       0.00047161,       0.00029971
    3,    46,       0.00079116,       0.00079116,       0.00036985
    3,    47,       0.00063342,       0.00063342,       0.00035197
    3,    48,       3.8728e-05,       3.8728e-05,        8.834e-05
    4,     1,        0.0011149,        0.0011149,       0.00043024
    4,     2,       0.00051102,       0.00051102,       0.00034212
    4,     3,       0.00071927,       0.00071927,       0.00035529
    4,     4,       0.00023134,       0.00023134,       0.00022401
    4,     5,       0.00051443,       0.00051443,       0.00024532
    4,     6,       0.00052699,       0.00052699,       0.00029061
    4,     7,       0.00031739,       0.00031739,       0.00023536
    4,     8,       0.00026914,       0.00026914,       0.00020656
    4,     9,       0.00087521,       0.00087521,       0.00037231
    4,    10,       0.00061455,       0.00061455,       0.00035839
    4,    11,        0.0010106,        0.0010106,       0.00040872
    4,    12,       0.00050071,       0.00050071,       0.00030614
    4,    13,        0.0014373,        0.0014373,       0.00047179
    4,    14,       0.00046073,       0.00046073,       0.00027059
    4,    15,       0.00052083,       0.00052083,       0.00029543
    4,    16,       0.00019478,       0.00019478,       0.00019156
    4,    17,       0.00061516,       0.00061516,       0.00035882
    4,    18,       0.00051477,       0.00051477,       0.00026963
    4,    19,       0.00043953,       0.00043953,       0.00028173
