epoch, batch, loss, loss_f, loss_e, f_mae, f_rmse, H_f_mae, C_f_mae, psavg_f_mae, H_f_rmse, C_f_rmse, psavg_f_rmse, e_mae, e/N_mae
    7,     7,         0.029495,          0.02949,       5.0786e-06,           4.1574,           5.2584,           3.1478,           5.3112,           4.2295,           3.9357,           6.4459,           5.1908,          0.96562,         0.064375
    7,     8,         0.037596,         0.037519,       7.6668e-05,           4.4934,           5.9313,           3.7593,           5.3325,           4.5459,           4.8555,             6.96,           5.9077,           3.1219,          0.20812
    7,     9,         0.041019,         0.040957,       6.2617e-05,           4.6909,            6.197,           3.8757,           5.6226,           4.7491,           5.0558,           7.2856,           6.1707,           3.4906,          0.23271
    7,    10,         0.027828,         0.027751,       7.7778e-05,           3.9174,            5.101,           3.3671,           4.5462,           3.9567,           4.3662,           5.8285,           5.0973,           3.9625,          0.26417
    7,    11,         0.028779,         0.028698,        8.147e-05,           4.1178,           5.1873,           3.4191,           4.9163,           4.1677,           4.3508,           6.0022,           5.1765,           3.9813,          0.26542
    7,    12,          0.03271,         0.032685,       2.5636e-05,            4.258,           5.5359,           3.7732,           4.8122,           4.2927,           4.5424,           6.4877,           5.5151,           1.7219,          0.11479
    7,    13,         0.034293,         0.034279,       1.3685e-05,           4.2071,           5.6694,           3.6538,           4.8394,           4.2466,           5.2571,           6.1066,           5.6819,           1.4156,         0.094375
    7,    14,         0.026015,         0.025999,       1.5312e-05,            3.898,           4.9374,            3.384,           4.4854,           3.9347,           4.2822,            5.593,           4.9376,           1.5844,          0.10562
    7,    15,           0.0197,         0.019671,       2.8202e-05,           3.2613,           4.2947,           2.3871,           4.2605,           3.3238,           2.9935,           5.4114,           4.2025,           2.3187,          0.15458
    7,    16,          0.02771,         0.027626,       8.3928e-05,           3.9143,           5.0896,           2.9542,           5.0116,           3.9829,           3.8518,            6.209,           5.0304,           3.9844,          0.26562
    7,    17,         0.018847,         0.018512,       0.00033506,           3.2338,           4.1662,           2.4712,           4.1054,           3.2883,            3.065,           5.1438,           4.1044,           8.3062,          0.55375
    7,    18,         0.026111,         0.025737,       0.00037378,           3.5103,           4.9125,            3.214,           3.8489,           3.5314,           4.0697,           5.7257,           4.8977,           8.6062,          0.57375
    7,    19,         0.027857,         0.027676,        0.0001804,           3.8129,           5.0942,           3.3368,            4.357,           3.8469,           4.4215,           5.7677,           5.0946,           6.0563,          0.40375
    7,    20,         0.024554,         0.024331,       0.00022287,           3.6926,           4.7764,           3.0001,           4.4841,           3.7421,            3.849,            5.653,            4.751,           6.7844,          0.45229
    8,     1,          0.02386,         0.023774,       8.5781e-05,           3.7026,           4.7214,           2.9882,            4.519,           3.7536,           3.8177,           5.5777,           4.6977,           3.7969,          0.25313
    8,     2,         0.023476,         0.023446,       2.9393e-05,           3.5972,           4.6888,           2.6852,           4.6396,           3.6624,           3.3523,           5.8537,            4.603,           2.4125,          0.16083
    8,     3,         0.028429,         0.028414,       1.4634e-05,           3.9036,           5.1617,           3.2825,           4.6134,            3.948,           4.3116,           5.9872,           5.1494,           1.5781,          0.10521
    8,     4,         0.040552,         0.040348,       0.00020438,           4.5274,           6.1508,           3.4782,           5.7264,           4.6023,           4.8684,           7.3472,           6.1078,           6.1625,          0.41083
