epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_H_f_mae,training_B_f_mae,training_C_f_mae,training_psavg_f_mae,training_H_f_rmse,training_B_f_rmse,training_C_f_rmse,training_psavg_f_rmse,training_e_mae,training_e/N_mae,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_H_f_mae,validation_B_f_mae,validation_C_f_mae,validation_psavg_f_mae,validation_H_f_rmse,validation_B_f_rmse,validation_C_f_rmse,validation_psavg_f_rmse,validation_e_mae,validation_e/N_mae
         1,   15.116,    0.005,          0.35502,        0.0022192,          0.35724,       0.0144,       0.0223,      0.00804,            0,       0.0202,       0.0094,       0.0116,            0,       0.0287,       0.0134,       0.0467,      0.00123,         0.066197,        8.187e-06,         0.066205,      0.00698,      0.00961,      0.00438,            0,      0.00932,      0.00457,      0.00557,            0,       0.0122,      0.00591,      0.00325,     8.55e-05
         2,   23.911,    0.005,         0.044612,       0.00018766,         0.044799,      0.00581,       0.0079,       0.0038,            0,      0.00763,      0.00381,      0.00493,            0,      0.00983,      0.00492,       0.0145,     0.000381,         0.030664,       4.7668e-06,         0.030669,      0.00486,      0.00654,      0.00321,            0,      0.00635,      0.00318,      0.00416,            0,      0.00811,      0.00409,      0.00267,     7.03e-05
         3,   32.709,    0.005,         0.028342,        0.0001185,         0.028461,      0.00472,      0.00629,      0.00325,            0,      0.00604,       0.0031,      0.00422,            0,       0.0077,      0.00397,       0.0126,     0.000331,           0.0207,       3.2661e-06,         0.020703,      0.00403,      0.00537,      0.00286,            0,      0.00509,      0.00265,      0.00372,            0,      0.00652,      0.00341,      0.00215,     5.65e-05
         4,   41.520,    0.005,         0.020876,       0.00011651,         0.020992,      0.00408,       0.0054,      0.00303,            0,      0.00502,      0.00268,      0.00398,            0,      0.00641,      0.00347,       0.0116,     0.000305,         0.015867,         3.19e-06,          0.01587,      0.00352,      0.00471,      0.00259,            0,      0.00436,      0.00232,      0.00342,            0,      0.00561,      0.00301,      0.00207,     5.45e-05
         5,   50.324,    0.005,         0.015826,       9.6815e-05,         0.015923,      0.00353,       0.0047,      0.00268,            0,       0.0043,      0.00233,      0.00358,            0,      0.00552,      0.00303,       0.0111,     0.000293,         0.012923,       2.4787e-06,         0.012925,      0.00317,      0.00425,      0.00237,            0,      0.00388,      0.00208,       0.0032,            0,      0.00501,      0.00273,      0.00192,     5.04e-05
         6,   59.152,    0.005,         0.013482,        3.602e-05,         0.013518,      0.00325,      0.00434,      0.00243,            0,      0.00399,      0.00214,      0.00329,            0,      0.00511,       0.0028,      0.00653,     0.000172,         0.011006,       2.4817e-06,         0.011009,      0.00291,      0.00392,       0.0022,            0,      0.00355,      0.00192,      0.00302,            0,      0.00458,      0.00253,      0.00184,     4.84e-05
         7,   69.016,    0.005,         0.012199,       8.6456e-05,         0.012285,       0.0031,      0.00413,      0.00236,            0,      0.00376,      0.00204,      0.00321,            0,      0.00481,      0.00267,       0.0108,     0.000284,        0.0097699,       2.2312e-06,        0.0097722,      0.00273,      0.00369,      0.00208,            0,      0.00331,       0.0018,       0.0029,            0,      0.00429,      0.00239,      0.00177,     4.67e-05
         8,   78.981,    0.005,         0.011221,       5.3232e-05,         0.011274,      0.00295,      0.00396,      0.00226,            0,      0.00358,      0.00195,       0.0031,            0,       0.0046,      0.00257,      0.00796,     0.000209,        0.0087748,       2.1148e-06,        0.0087769,      0.00258,       0.0035,      0.00199,            0,      0.00311,       0.0017,      0.00279,            0,      0.00403,      0.00227,      0.00173,     4.56e-05
         9,   88.851,    0.005,         0.011888,       6.8088e-05,         0.011956,      0.00305,      0.00407,      0.00241,            0,      0.00363,      0.00201,      0.00327,            0,      0.00468,      0.00265,      0.00927,     0.000244,        0.0080108,       2.0224e-06,        0.0080129,      0.00245,      0.00334,      0.00191,            0,      0.00294,      0.00162,       0.0027,            0,      0.00383,      0.00218,      0.00174,     4.58e-05
        10,   98.723,    0.005,         0.011214,       5.7487e-05,         0.011272,      0.00298,      0.00396,      0.00229,            0,       0.0036,      0.00196,      0.00308,            0,      0.00461,      0.00256,      0.00863,     0.000227,        0.0074568,       1.8872e-06,        0.0074587,      0.00236,      0.00323,      0.00186,            0,      0.00281,      0.00156,      0.00264,            0,      0.00367,      0.00211,      0.00166,     4.37e-05
        11,  108.563,    0.005,        0.0093798,       8.4658e-05,        0.0094645,       0.0027,      0.00362,      0.00214,            0,       0.0032,      0.00178,      0.00295,            0,      0.00413,      0.00236,       0.0105,     0.000276,        0.0068188,       1.9369e-06,        0.0068207,      0.00225,      0.00309,       0.0018,            0,      0.00266,      0.00148,      0.00257,            0,      0.00349,      0.00202,      0.00165,     4.34e-05
        12,  118.400,    0.005,        0.0089167,       9.3931e-05,        0.0090106,      0.00263,      0.00353,      0.00209,            0,      0.00311,      0.00173,      0.00288,            0,      0.00403,       0.0023,       0.0111,     0.000292,        0.0062603,       1.8343e-06,        0.0062621,      0.00215,      0.00296,      0.00174,            0,      0.00251,      0.00142,       0.0025,            0,      0.00331,      0.00194,      0.00161,     4.25e-05
        13,  128.200,    0.005,        0.0087106,       4.7734e-05,        0.0087584,      0.00254,      0.00348,      0.00195,            0,      0.00306,      0.00167,      0.00273,            0,      0.00405,      0.00226,      0.00687,     0.000181,        0.0057234,       1.8345e-06,        0.0057252,      0.00204,      0.00283,      0.00168,            0,      0.00237,      0.00135,      0.00242,            0,      0.00315,      0.00186,      0.00161,     4.24e-05
        14,  137.928,    0.005,        0.0075674,       5.4906e-05,        0.0076224,      0.00241,      0.00325,      0.00198,            0,      0.00279,      0.00159,      0.00273,            0,      0.00366,      0.00213,      0.00757,     0.000199,         0.005315,       1.7784e-06,        0.0053168,      0.00196,      0.00272,      0.00162,            0,      0.00226,      0.00129,      0.00235,            0,      0.00302,      0.00179,      0.00156,      4.1e-05
        15,  147.670,    0.005,        0.0070992,        4.854e-05,        0.0071478,      0.00232,      0.00315,      0.00189,            0,      0.00271,      0.00153,      0.00263,            0,      0.00355,      0.00206,      0.00776,     0.000204,        0.0049038,       1.7601e-06,        0.0049056,      0.00187,      0.00262,      0.00157,            0,      0.00215,      0.00124,      0.00228,            0,      0.00289,      0.00172,      0.00154,     4.05e-05
        16,  157.413,    0.005,        0.0071217,       4.9694e-05,        0.0071714,      0.00232,      0.00316,      0.00184,            0,      0.00276,      0.00153,      0.00259,            0,      0.00359,      0.00206,      0.00805,     0.000212,        0.0045788,       1.7547e-06,        0.0045805,       0.0018,      0.00253,      0.00152,            0,      0.00206,      0.00119,      0.00222,            0,      0.00278,      0.00167,      0.00153,     4.04e-05
        17,  167.119,    0.005,        0.0056404,       2.6812e-05,        0.0056672,      0.00205,      0.00281,      0.00168,            0,      0.00238,      0.00135,      0.00239,            0,      0.00313,      0.00184,      0.00579,     0.000152,        0.0042002,       1.7628e-06,         0.004202,      0.00172,      0.00242,      0.00146,            0,      0.00195,      0.00114,      0.00214,            0,      0.00265,       0.0016,      0.00153,     4.02e-05
        18,  176.841,    0.005,        0.0058896,       4.0821e-05,        0.0059304,       0.0021,      0.00287,      0.00171,            0,      0.00245,      0.00139,       0.0024,            0,      0.00323,      0.00188,      0.00709,     0.000187,        0.0039148,       1.7176e-06,        0.0039165,      0.00165,      0.00234,      0.00141,            0,      0.00187,      0.00109,      0.00208,            0,      0.00255,      0.00154,      0.00148,      3.9e-05
        19,  186.546,    0.005,        0.0056558,       4.4123e-05,        0.0056999,      0.00205,      0.00281,      0.00169,            0,      0.00236,      0.00135,      0.00239,            0,      0.00314,      0.00184,       0.0073,     0.000192,        0.0036727,       1.6599e-06,        0.0036743,      0.00159,      0.00226,      0.00136,            0,       0.0018,      0.00105,      0.00202,            0,      0.00246,       0.0015,      0.00146,     3.84e-05
        20,  196.296,    0.005,        0.0060918,       3.4488e-05,        0.0061263,      0.00211,      0.00292,       0.0017,            0,      0.00248,      0.00139,      0.00244,            0,      0.00329,      0.00191,      0.00648,     0.000171,        0.0035121,        1.596e-06,        0.0035137,      0.00155,      0.00221,      0.00133,            0,      0.00175,      0.00103,      0.00198,            0,       0.0024,      0.00146,       0.0014,     3.68e-05
        21,  206.018,    0.005,        0.0052321,       3.7161e-05,        0.0052693,      0.00196,      0.00271,      0.00161,            0,      0.00228,       0.0013,       0.0023,            0,      0.00303,      0.00177,      0.00666,     0.000175,        0.0033123,       1.6814e-06,         0.003314,       0.0015,      0.00215,       0.0013,            0,      0.00168,     0.000994,      0.00194,            0,      0.00233,      0.00142,      0.00143,     3.75e-05
        22,  215.855,    0.005,        0.0050879,        2.878e-05,        0.0051166,      0.00194,      0.00267,      0.00156,            0,      0.00228,      0.00128,      0.00223,            0,        0.003,      0.00175,      0.00597,     0.000157,        0.0031481,        1.553e-06,        0.0031496,      0.00145,       0.0021,      0.00126,            0,      0.00163,     0.000963,      0.00189,            0,      0.00226,      0.00139,      0.00138,     3.62e-05
        23,  225.706,    0.005,        0.0046348,       2.4053e-05,        0.0046588,      0.00184,      0.00254,      0.00153,            0,      0.00212,      0.00122,      0.00218,            0,      0.00283,      0.00167,      0.00557,     0.000147,        0.0029963,       1.5432e-06,        0.0029979,      0.00142,      0.00205,      0.00123,            0,      0.00158,     0.000938,      0.00185,            0,       0.0022,      0.00135,      0.00137,     3.62e-05
        24,  235.504,    0.005,        0.0046541,       2.5205e-05,        0.0046793,      0.00185,      0.00255,      0.00155,            0,      0.00212,      0.00122,      0.00222,            0,      0.00281,      0.00168,      0.00573,     0.000151,        0.0028572,       1.5174e-06,        0.0028588,      0.00138,        0.002,      0.00121,            0,      0.00153,     0.000912,      0.00182,            0,      0.00214,      0.00132,      0.00136,     3.58e-05
        25,  245.306,    0.005,        0.0047045,       2.8996e-05,        0.0047335,      0.00184,      0.00256,      0.00145,            0,       0.0022,      0.00122,      0.00211,            0,      0.00291,      0.00167,      0.00626,     0.000165,        0.0027494,       1.4044e-06,        0.0027508,      0.00135,      0.00196,      0.00118,            0,       0.0015,     0.000893,      0.00179,            0,       0.0021,       0.0013,      0.00132,     3.47e-05
