epoch, batch, loss, loss_f, loss_e, f_mae, f_rmse, H_f_mae, B_f_mae, C_f_mae, psavg_f_mae, H_f_rmse, B_f_rmse, C_f_rmse, psavg_f_rmse, e_mae, e/N_mae
    1,     1,           0.9504,          0.95019,       0.00021123,         0.026735,         0.036435,         0.017736,                0,         0.034833,         0.017523,         0.023958,                0,         0.044784,         0.022914,         0.014978,       0.00039416
    1,     2,           1.0484,            1.048,       0.00034348,          0.02908,         0.038265,         0.019159,                0,         0.038009,         0.019056,         0.025845,                0,         0.046699,         0.024181,         0.022241,       0.00058529
    1,     3,           1.1418,           1.1413,       0.00051106,         0.028482,          0.03993,         0.017296,                0,         0.038549,         0.018615,         0.022741,                0,         0.050635,         0.024459,         0.030615,       0.00080566
    1,     4,          0.75703,           0.7567,       0.00033128,         0.023168,         0.032514,           0.0146,                0,          0.03088,          0.01516,         0.019004,                0,         0.041031,         0.020012,         0.024219,       0.00063734
    1,     5,          0.94602,          0.94518,        0.0008336,         0.026669,         0.036339,         0.016906,                0,         0.035455,         0.017454,         0.022169,                0,          0.04546,         0.022543,         0.039612,        0.0010424
    1,     6,           1.0212,           1.0201,        0.0011624,         0.027504,          0.03775,         0.017045,                0,         0.036917,         0.017987,         0.023275,                0,         0.047118,         0.023464,         0.044983,        0.0011838
    1,     7,           1.2161,           1.2148,        0.0013438,          0.02972,         0.041196,         0.020046,                0,         0.038427,         0.019491,         0.026427,                0,          0.05095,         0.025792,         0.051562,        0.0013569
    1,     8,          0.82133,          0.82025,        0.0010805,         0.022256,         0.033852,         0.013352,                0,         0.030269,          0.01454,         0.020152,                0,         0.042565,         0.020906,         0.041943,        0.0011038
    1,     9,          0.94377,          0.94157,        0.0022048,         0.026539,         0.036269,         0.017844,                0,         0.034366,         0.017403,         0.023703,                0,         0.044651,         0.022785,         0.064539,        0.0016984
    1,    10,          0.95231,          0.94937,        0.0029407,         0.026094,         0.036419,         0.017022,                0,         0.034259,         0.017094,         0.023017,                0,         0.045202,          0.02274,         0.076416,        0.0020109
    1,    11,            1.052,           1.0474,        0.0045079,         0.028589,         0.038254,         0.020139,                0,         0.036195,         0.018778,         0.026655,                0,          0.04627,         0.024308,         0.095129,        0.0025034
    1,    12,            0.962,          0.95681,         0.005193,          0.02675,         0.036561,         0.018504,                0,         0.034172,         0.017559,         0.023857,                0,         0.045029,         0.022962,          0.10082,        0.0026531
    1,    13,          0.99342,          0.98509,         0.008327,         0.026017,         0.037098,         0.015623,                0,         0.035372,         0.016998,         0.020134,                0,         0.047434,         0.022523,          0.12944,        0.0034064
    1,    14,          0.87088,          0.85995,         0.010933,         0.025135,         0.034661,         0.016158,                0,         0.033214,         0.016458,         0.022113,                0,         0.042925,          0.02168,          0.14802,        0.0038953
    1,    15,          0.86982,          0.85548,         0.014345,         0.025123,         0.034571,         0.014528,                0,         0.034659,         0.016396,         0.019915,                0,         0.043748,         0.021221,           0.1699,         0.004471
    1,    16,          0.97123,          0.95162,          0.01961,         0.026251,         0.036462,         0.015228,                0,         0.036172,         0.017133,         0.020182,                0,          0.04647,         0.022217,          0.19879,        0.0052314
    1,    17,          0.81138,           0.7881,         0.023287,         0.023859,         0.033182,         0.012524,                0,          0.03406,         0.015528,         0.016029,                0,         0.043136,         0.019722,          0.21669,        0.0057023
    1,    18,          0.70303,          0.67788,         0.025155,          0.02182,         0.030774,          0.01224,                0,         0.030442,         0.014227,         0.016456,                0,         0.039442,         0.018633,          0.22496,        0.0059201
    1,    19,          0.72848,          0.70305,         0.025427,         0.022497,          0.03134,         0.012325,                0,         0.031653,         0.014659,         0.016825,                0,         0.040142,         0.018989,          0.22638,        0.0059574
    1,    20,          0.65693,          0.63521,         0.021723,         0.021069,          0.02979,         0.010756,                0,          0.03035,         0.013702,         0.014157,                0,         0.038804,         0.017654,          0.20919,         0.005505
    1,    21,          0.62677,          0.61233,         0.014435,         0.019824,         0.029248,        0.0099632,                0,         0.028698,         0.012887,         0.013352,                0,         0.038274,         0.017209,             0.17,        0.0044736
    1,    22,          0.68844,           0.6786,        0.0098332,         0.021952,         0.030791,         0.012298,                0,          0.03064,         0.014313,         0.016305,                0,         0.039523,         0.018609,          0.14066,        0.0037016
    1,    23,          0.64944,          0.64562,         0.003824,         0.020599,         0.030033,         0.010368,                0,         0.029807,         0.013392,         0.013405,                0,         0.039396,           0.0176,         0.087402,        0.0023001
    1,    24,          0.59092,          0.58996,       0.00095755,         0.020183,         0.028709,        0.0098731,                0,         0.029462,         0.013112,         0.012715,                0,          0.03769,         0.016801,         0.043555,        0.0011462
    1,    25,          0.64219,          0.64214,       4.4956e-05,         0.021607,         0.029952,         0.011954,                0,         0.030295,         0.014083,         0.014866,                0,         0.038802,          0.01789,        0.0079346,        0.0002088
    1,    26,          0.73259,           0.7323,       0.00028163,         0.022884,         0.031986,         0.011928,                0,         0.032745,         0.014891,         0.015408,                0,         0.041596,         0.019001,         0.022681,       0.00059686
    1,    27,          0.59214,          0.59031,        0.0018375,         0.019499,         0.028718,        0.0096807,                0,         0.028336,         0.012672,         0.012844,                0,         0.037662,         0.016835,         0.060205,        0.0015843
    1,    28,          0.72953,          0.72687,        0.0026619,         0.022174,         0.031867,         0.010551,                0,         0.032635,         0.014395,         0.013461,                0,         0.042028,         0.018496,         0.072937,        0.0019194
    1,    29,          0.60437,          0.60155,        0.0028191,         0.020863,          0.02899,         0.011562,                0,         0.029234,         0.013599,         0.014676,                0,         0.037456,         0.017377,         0.075195,        0.0019788
    1,    30,          0.66721,          0.66493,        0.0022748,         0.020545,         0.030479,         0.010516,                0,         0.029571,         0.013363,         0.013539,                0,         0.040001,         0.017847,         0.067651,        0.0017803
    1,    31,          0.64577,          0.64397,        0.0017935,         0.020708,         0.029995,         0.010829,                0,         0.029599,         0.013476,         0.013913,                0,         0.039181,         0.017698,         0.060071,        0.0015808
    1,    32,          0.53808,          0.53654,        0.0015454,         0.018977,         0.027378,         0.010715,                0,         0.026414,         0.012376,         0.013821,                0,         0.035388,         0.016403,          0.05481,        0.0014424
    1,    33,          0.60486,           0.6037,        0.0011598,         0.021095,         0.029042,          0.01109,                0,         0.030099,          0.01373,         0.014855,                0,         0.037469,         0.017441,         0.048279,        0.0012705
    1,    34,          0.62489,          0.62416,       0.00072956,         0.021597,          0.02953,         0.011472,                0,          0.03071,         0.014061,         0.014569,                0,         0.038285,         0.017618,         0.037805,       0.00099487
