epoch, batch, loss, loss_f, loss_e, f_mae, f_rmse, H_f_mae, B_f_mae, C_f_mae, psavg_f_mae, H_f_rmse, B_f_rmse, C_f_rmse, psavg_f_rmse, e_mae, e/N_mae
    1,     1,           1.0196,           1.0195,       6.2209e-05,         0.027277,         0.038031,          0.01715,                0,         0.036392,         0.017847,         0.022689,                0,         0.047799,         0.023496,        0.0093018,       0.00024478
    1,     2,           1.1118,           1.1114,       0.00040851,         0.029425,         0.039708,         0.018678,                0,         0.039097,         0.019258,         0.024838,                0,         0.049402,         0.024747,         0.023975,       0.00063091
    1,     3,            1.276,           1.2755,       0.00051765,         0.031519,         0.042538,          0.02021,                0,         0.041697,         0.020636,         0.026599,                0,         0.052926,         0.026509,         0.030359,       0.00079892
    1,     4,          0.90986,          0.90918,       0.00067708,         0.026367,         0.035914,         0.018678,                0,         0.033286,         0.017321,         0.024501,                0,         0.043708,         0.022736,         0.032568,       0.00085706
    1,     5,           1.0482,           1.0468,        0.0014016,         0.027792,         0.038536,         0.016882,                0,         0.037611,         0.018164,          0.02283,                0,         0.048502,         0.023778,         0.050525,        0.0013296
    1,     6,          0.86017,           0.8587,        0.0014751,          0.02515,         0.034903,         0.017775,                0,         0.031787,         0.016521,         0.022799,                0,         0.042974,         0.021924,         0.052966,        0.0013939
    1,     7,          0.99449,          0.99155,        0.0029469,         0.027544,         0.037505,         0.016502,                0,         0.037482,         0.017995,          0.02136,                0,         0.047561,         0.022974,         0.076477,        0.0020126
    1,     8,           1.0504,           1.0454,        0.0049183,         0.028356,         0.038511,          0.01897,                0,         0.036804,         0.018591,         0.025882,                0,         0.047064,         0.024315,         0.099744,        0.0026248
    1,     9,          0.97519,          0.96913,        0.0060602,         0.027177,         0.037079,         0.016835,                0,         0.036484,         0.017773,         0.022692,                0,         0.046355,         0.023016,          0.11132,        0.0029294
    1,    10,          0.74787,          0.74134,        0.0065316,         0.022442,          0.03243,         0.014369,                0,         0.029709,         0.014693,         0.019933,                0,         0.040505,         0.020146,          0.11351,        0.0029872
    1,    11,           0.7412,           0.7289,           0.0123,         0.023736,         0.032157,         0.015206,                0,         0.031413,          0.01554,         0.020585,                0,         0.039791,         0.020125,          0.15792,        0.0041559
    1,    12,          0.73601,          0.72037,         0.015637,         0.023118,         0.031968,         0.013709,                0,         0.031587,         0.015098,         0.018155,                0,         0.040559,         0.019571,          0.17893,        0.0047087
    1,    13,          0.94072,          0.91894,         0.021788,         0.026287,         0.036106,         0.014839,                0,          0.03659,         0.017143,         0.019807,                0,         0.046085,         0.021964,          0.21112,        0.0055558
    1,    14,          0.85197,          0.82492,         0.027046,         0.024816,         0.034209,         0.013396,                0,         0.035094,         0.016164,         0.017548,                0,         0.044118,         0.020555,          0.23531,        0.0061925
    1,    15,          0.69778,          0.66775,         0.030028,         0.021614,         0.030778,         0.011482,                0,         0.030732,         0.014071,         0.014878,                0,         0.040008,         0.018295,          0.24799,        0.0065259
    1,    16,          0.78672,             0.75,         0.036722,         0.022837,         0.032619,         0.012925,                0,         0.031759,         0.014894,         0.017035,                0,         0.041957,         0.019664,          0.27395,        0.0072092
    1,    17,          0.75662,          0.71946,         0.037161,         0.022635,         0.031948,         0.010828,                0,         0.033262,         0.014697,         0.014045,                0,         0.041973,         0.018673,          0.27582,        0.0072584
    1,    18,          0.63812,          0.60135,          0.03677,         0.020425,         0.029208,         0.012721,                0,         0.027358,          0.01336,          0.01709,                0,         0.036851,         0.017981,          0.27413,         0.007214
    1,    19,          0.75416,          0.72466,         0.029504,         0.022491,         0.032063,         0.012287,                0,         0.031675,         0.014654,          0.01653,                0,          0.04132,         0.019283,          0.24568,        0.0064652
    1,    20,          0.67689,          0.66011,         0.016781,         0.022057,         0.030602,         0.010868,                0,         0.032126,         0.014331,         0.013775,                0,         0.040106,          0.01796,          0.18541,        0.0048793
    1,    21,          0.60267,          0.59608,         0.006587,          0.02029,          0.02908,         0.010353,                0,         0.029234,         0.013196,         0.013336,                0,         0.038035,         0.017123,          0.11609,         0.003055
    1,    22,          0.69591,          0.69389,        0.0020153,         0.022684,         0.031375,         0.012469,                0,         0.031879,         0.014782,         0.016063,                0,         0.040474,         0.018846,         0.063831,        0.0016798
    1,    23,           0.6598,          0.65955,       0.00025358,         0.022294,         0.030589,         0.013589,                0,         0.030129,         0.014572,         0.017577,                0,         0.038726,         0.018768,         0.020947,       0.00055124
    1,    24,          0.68358,          0.68345,       0.00012904,         0.021983,         0.031138,         0.011015,                0,         0.031855,          0.01429,         0.014288,                0,         0.040724,         0.018337,         0.014661,       0.00038581
    1,    25,            0.598,          0.59732,       0.00068558,         0.021078,          0.02911,         0.012003,                0,         0.029246,          0.01375,         0.015151,                0,         0.037462,         0.017538,         0.036914,       0.00097142
    1,    26,          0.70181,          0.70103,       0.00078342,         0.022718,         0.031536,         0.011879,                0,         0.032472,         0.014784,         0.015123,                0,         0.041033,         0.018719,         0.038965,        0.0010254
    1,    27,          0.64101,          0.64015,       0.00086549,         0.020332,         0.030135,        0.0096801,                0,         0.029919,           0.0132,         0.012821,                0,         0.039718,         0.017513,          0.04187,        0.0011018
    1,    28,          0.56931,          0.56839,       0.00092721,          0.01966,         0.028396,        0.0092576,                0,         0.029022,          0.01276,         0.011944,                0,         0.037465,          0.01647,         0.041528,        0.0010929
    1,    29,          0.46486,          0.46408,       0.00078036,         0.018228,         0.025659,         0.010077,                0,         0.025564,          0.01188,          0.01294,                0,         0.033169,          0.01537,         0.036926,       0.00097174
    1,    30,          0.66426,          0.66387,       0.00038518,          0.02206,         0.030689,         0.012042,                0,         0.031076,         0.014373,         0.015548,                0,         0.039647,         0.018398,         0.026599,       0.00069998
    1,    31,          0.58893,          0.58794,       0.00098914,         0.020043,         0.028881,         0.010213,                0,          0.02889,         0.013034,         0.013231,                0,         0.037778,         0.017003,         0.044238,        0.0011642
