epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_H_f_mae,training_B_f_mae,training_C_f_mae,training_psavg_f_mae,training_H_f_rmse,training_B_f_rmse,training_C_f_rmse,training_psavg_f_rmse,training_e_mae,training_e/N_mae,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_H_f_mae,validation_B_f_mae,validation_C_f_mae,validation_psavg_f_mae,validation_H_f_rmse,validation_B_f_rmse,validation_C_f_rmse,validation_psavg_f_rmse,validation_e_mae,validation_e/N_mae
         1,   14.828,    0.005,          0.38489,        0.0026289,          0.38752,       0.0153,       0.0234,      0.00823,            0,       0.0217,      0.00998,       0.0116,            0,       0.0303,        0.014,       0.0475,      0.00125,         0.073842,       1.3045e-05,         0.073855,      0.00739,       0.0102,      0.00446,            0,         0.01,      0.00483,      0.00563,            0,        0.013,      0.00623,      0.00428,     0.000113
         2,   23.469,    0.005,         0.038578,       0.00012202,           0.0387,      0.00549,       0.0074,       0.0036,            0,       0.0072,       0.0036,      0.00466,            0,      0.00919,      0.00462,       0.0113,     0.000298,         0.026299,        4.391e-06,         0.026304,      0.00452,      0.00611,      0.00296,            0,      0.00592,      0.00296,       0.0039,            0,      0.00756,      0.00382,      0.00241,     6.33e-05
         3,   32.185,    0.005,         0.022884,       0.00013604,         0.023021,      0.00428,       0.0057,        0.003,            0,      0.00543,      0.00281,      0.00393,            0,      0.00692,      0.00361,       0.0135,     0.000355,         0.016848,       3.4889e-06,         0.016851,      0.00363,      0.00489,      0.00253,            0,      0.00461,      0.00238,       0.0034,            0,      0.00592,      0.00311,      0.00207,     5.44e-05
         4,   40.812,    0.005,         0.016795,       7.4687e-05,          0.01687,      0.00366,      0.00488,      0.00264,            0,      0.00458,      0.00241,      0.00355,            0,      0.00582,      0.00313,      0.00963,     0.000253,         0.012855,       2.7687e-06,         0.012858,      0.00316,      0.00427,      0.00227,            0,      0.00395,      0.00208,      0.00312,            0,      0.00509,      0.00274,      0.00207,     5.44e-05
         5,   49.448,    0.005,         0.013695,       7.2545e-05,         0.013767,       0.0033,      0.00441,      0.00245,            0,      0.00407,      0.00217,      0.00332,            0,       0.0052,      0.00284,      0.00955,     0.000251,         0.010729,       2.9273e-06,         0.010732,      0.00287,       0.0039,      0.00211,            0,      0.00356,      0.00189,      0.00293,            0,       0.0046,      0.00251,      0.00208,     5.48e-05
         6,   58.084,    0.005,          0.01304,       8.6731e-05,         0.013127,      0.00325,       0.0043,      0.00249,            0,      0.00393,      0.00214,      0.00337,            0,        0.005,      0.00279,       0.0103,     0.000272,         0.009438,       3.0245e-06,        0.0094411,      0.00268,      0.00366,      0.00199,            0,      0.00331,      0.00177,      0.00281,            0,      0.00428,      0.00236,      0.00207,     5.45e-05
         7,   66.712,    0.005,         0.010596,       4.7836e-05,         0.010644,      0.00289,      0.00388,      0.00223,            0,      0.00349,      0.00191,      0.00308,            0,      0.00447,      0.00252,      0.00749,     0.000197,        0.0083834,       2.9872e-06,        0.0083863,      0.00252,      0.00345,       0.0019,            0,      0.00307,      0.00166,       0.0027,            0,        0.004,      0.00223,      0.00204,     5.36e-05
         8,   75.332,    0.005,        0.0099733,       5.0674e-05,         0.010024,       0.0028,      0.00375,      0.00217,            0,      0.00336,      0.00184,      0.00299,            0,      0.00431,      0.00243,       0.0085,     0.000224,         0.007538,       2.9505e-06,        0.0075409,      0.00238,      0.00327,      0.00182,            0,      0.00288,      0.00157,      0.00261,            0,      0.00376,      0.00213,      0.00203,     5.34e-05
         9,   83.958,    0.005,        0.0098867,       8.1763e-05,        0.0099684,      0.00278,      0.00375,      0.00217,            0,      0.00333,      0.00183,      0.00301,            0,      0.00431,      0.00244,       0.0104,     0.000273,        0.0069101,       2.8983e-06,         0.006913,      0.00227,      0.00313,      0.00176,            0,      0.00272,      0.00149,      0.00255,            0,      0.00358,      0.00204,      0.00203,     5.33e-05
        10,   92.579,    0.005,        0.0088868,       5.1145e-05,        0.0089379,      0.00263,      0.00355,      0.00208,            0,      0.00313,      0.00174,       0.0029,            0,      0.00405,      0.00232,      0.00787,     0.000207,        0.0063454,       2.9252e-06,        0.0063483,      0.00217,        0.003,      0.00171,            0,      0.00257,      0.00143,      0.00248,            0,       0.0034,      0.00196,      0.00206,     5.42e-05
