epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_H_f_mae,training_B_f_mae,training_C_f_mae,training_psavg_f_mae,training_H_f_rmse,training_B_f_rmse,training_C_f_rmse,training_psavg_f_rmse,training_e_mae,training_e/N_mae,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_H_f_mae,validation_B_f_mae,validation_C_f_mae,validation_psavg_f_mae,validation_H_f_rmse,validation_B_f_rmse,validation_C_f_rmse,validation_psavg_f_rmse,validation_e_mae,validation_e/N_mae
        11,  114.515,    0.005,        0.0088915,       3.7564e-05,        0.0089291,      0.00265,      0.00355,      0.00208,            0,      0.00316,      0.00175,      0.00288,            0,      0.00407,      0.00232,      0.00688,     0.000181,        0.0064958,        2.911e-06,        0.0064987,      0.00222,      0.00304,      0.00177,            0,      0.00263,      0.00147,      0.00253,            0,      0.00343,      0.00199,      0.00207,     5.45e-05
        12,  124.321,    0.005,        0.0089122,        4.341e-05,        0.0089556,      0.00264,      0.00356,      0.00203,            0,      0.00318,      0.00174,      0.00282,            0,      0.00411,      0.00231,      0.00751,     0.000198,        0.0060009,       2.9889e-06,        0.0060038,      0.00213,      0.00292,      0.00172,            0,       0.0025,      0.00141,      0.00246,            0,      0.00328,      0.00191,      0.00214,     5.63e-05
        13,  134.137,    0.005,        0.0073019,       3.4461e-05,        0.0073363,      0.00237,      0.00322,      0.00191,            0,      0.00279,      0.00157,      0.00269,            0,      0.00363,      0.00211,      0.00614,     0.000162,        0.0055207,       2.8195e-06,        0.0055235,      0.00203,       0.0028,      0.00167,            0,      0.00236,      0.00134,       0.0024,            0,      0.00312,      0.00184,      0.00207,     5.44e-05
        14,  143.960,    0.005,        0.0075084,       4.0197e-05,        0.0075486,      0.00239,      0.00327,       0.0019,            0,      0.00284,      0.00158,      0.00267,            0,      0.00372,      0.00213,      0.00701,     0.000185,        0.0050985,       2.6568e-06,        0.0051011,      0.00194,      0.00269,      0.00161,            0,      0.00224,      0.00128,      0.00233,            0,      0.00298,      0.00177,      0.00201,     5.29e-05
        15,  153.734,    0.005,        0.0066419,       2.5945e-05,        0.0066678,      0.00226,      0.00307,      0.00182,            0,      0.00267,      0.00149,      0.00254,            0,      0.00348,      0.00201,      0.00574,     0.000151,        0.0047607,       2.5209e-06,        0.0047632,      0.00187,       0.0026,      0.00156,            0,      0.00214,      0.00124,      0.00227,            0,      0.00286,      0.00171,      0.00198,      5.2e-05
        16,  163.606,    0.005,        0.0064719,        3.632e-05,        0.0065082,      0.00224,      0.00303,      0.00183,            0,       0.0026,      0.00148,      0.00256,            0,       0.0034,      0.00199,      0.00624,     0.000164,        0.0044325,       2.3541e-06,        0.0044349,       0.0018,      0.00251,      0.00152,            0,      0.00205,      0.00119,      0.00221,            0,      0.00275,      0.00165,      0.00192,     5.04e-05
        17,  173.432,    0.005,        0.0061486,       2.3384e-05,         0.006172,      0.00214,      0.00296,       0.0017,            0,      0.00255,      0.00141,      0.00243,            0,      0.00336,      0.00193,      0.00533,      0.00014,        0.0041519,       2.0907e-06,         0.004154,      0.00173,      0.00243,      0.00147,            0,      0.00197,      0.00115,      0.00216,            0,      0.00265,       0.0016,       0.0018,     4.73e-05
        18,  183.326,    0.005,        0.0062445,       2.4782e-05,        0.0062693,      0.00215,      0.00298,      0.00167,            0,      0.00258,      0.00142,      0.00239,            0,      0.00342,      0.00194,      0.00552,     0.000145,        0.0039291,       1.9847e-06,        0.0039311,      0.00168,      0.00236,      0.00143,            0,       0.0019,      0.00111,      0.00211,            0,      0.00257,      0.00156,      0.00174,     4.58e-05
        19,  193.113,    0.005,         0.006008,       2.0646e-05,        0.0060286,      0.00213,      0.00292,      0.00167,            0,      0.00254,       0.0014,      0.00236,            0,      0.00335,       0.0019,      0.00529,     0.000139,        0.0037262,       1.7713e-06,         0.003728,      0.00163,       0.0023,      0.00139,            0,      0.00184,      0.00108,      0.00205,            0,       0.0025,      0.00152,      0.00161,     4.25e-05
        20,  202.760,    0.005,        0.0049725,       1.4698e-05,        0.0049872,      0.00192,      0.00266,      0.00159,            0,      0.00221,      0.00127,      0.00229,            0,      0.00295,      0.00175,       0.0042,      0.00011,        0.0035012,       1.5984e-06,        0.0035028,      0.00157,      0.00223,      0.00135,            0,      0.00177,      0.00104,        0.002,            0,      0.00242,      0.00147,      0.00153,     4.02e-05
        21,  212.468,    0.005,        0.0054904,       1.8167e-05,        0.0055086,      0.00204,      0.00279,      0.00162,            0,      0.00242,      0.00134,      0.00231,            0,      0.00316,      0.00183,       0.0049,     0.000129,        0.0033341,       1.4204e-06,        0.0033355,      0.00153,      0.00218,      0.00131,            0,      0.00172,      0.00101,      0.00195,            0,      0.00236,      0.00144,      0.00145,     3.83e-05
        22,  222.210,    0.005,         0.005172,       1.4124e-05,        0.0051862,      0.00197,      0.00271,       0.0016,            0,       0.0023,       0.0013,      0.00229,            0,      0.00304,      0.00178,      0.00437,     0.000115,         0.003183,       1.3135e-06,        0.0031843,      0.00149,      0.00213,      0.00128,            0,      0.00167,     0.000986,      0.00191,            0,       0.0023,      0.00141,      0.00139,     3.67e-05
        23,  231.940,    0.005,        0.0047389,       1.5408e-05,        0.0047543,      0.00188,      0.00259,      0.00155,            0,      0.00217,      0.00124,      0.00221,            0,      0.00289,       0.0017,      0.00421,     0.000111,        0.0030312,       1.2751e-06,        0.0030325,      0.00145,      0.00208,      0.00125,            0,      0.00163,     0.000959,      0.00187,            0,      0.00224,      0.00137,      0.00137,     3.61e-05
        24,  241.683,    0.005,        0.0051105,       9.0184e-06,        0.0051195,      0.00194,       0.0027,      0.00153,            0,      0.00231,      0.00128,      0.00219,            0,      0.00308,      0.00176,       0.0033,     8.69e-05,        0.0029224,       1.1371e-06,        0.0029236,      0.00142,      0.00204,      0.00123,            0,       0.0016,     0.000941,      0.00184,            0,       0.0022,      0.00135,      0.00129,     3.38e-05
        25,  251.357,    0.005,        0.0045553,       6.6561e-06,        0.0045619,      0.00182,      0.00254,       0.0015,            0,      0.00211,       0.0012,      0.00217,            0,      0.00284,      0.00167,      0.00294,     7.74e-05,        0.0027925,       1.0503e-06,        0.0027935,      0.00138,      0.00199,       0.0012,            0,      0.00155,     0.000916,       0.0018,            0,      0.00215,      0.00132,      0.00124,     3.26e-05
        26,  261.041,    0.005,        0.0046763,       1.4006e-05,        0.0046903,      0.00184,      0.00258,      0.00148,            0,      0.00216,      0.00121,      0.00215,            0,      0.00291,      0.00169,       0.0043,     0.000113,        0.0026936,       1.0336e-06,        0.0026946,      0.00135,      0.00196,      0.00117,            0,      0.00152,     0.000896,      0.00177,            0,      0.00211,      0.00129,      0.00123,     3.23e-05
        27,  270.712,    0.005,        0.0044777,       7.8571e-06,        0.0044855,      0.00181,      0.00252,      0.00145,            0,      0.00213,      0.00119,      0.00211,            0,      0.00284,      0.00165,      0.00322,     8.48e-05,        0.0025863,       9.5909e-07,        0.0025873,      0.00132,      0.00192,      0.00114,            0,      0.00148,     0.000875,      0.00173,            0,      0.00207,      0.00127,      0.00117,     3.08e-05
        28,  280.403,    0.005,        0.0040343,       1.4215e-05,        0.0040485,      0.00172,      0.00239,      0.00143,            0,      0.00199,      0.00114,      0.00208,            0,      0.00264,      0.00158,      0.00433,     0.000114,        0.0024903,       9.3636e-07,        0.0024912,      0.00129,      0.00188,      0.00113,            0,      0.00145,     0.000858,       0.0017,            0,      0.00203,      0.00124,      0.00115,     3.03e-05
        29,  290.083,    0.005,        0.0039967,       1.7743e-05,        0.0040144,      0.00172,      0.00238,      0.00142,            0,      0.00199,      0.00114,      0.00204,            0,      0.00265,      0.00156,      0.00503,     0.000132,        0.0023859,       8.4313e-07,        0.0023868,      0.00126,      0.00184,       0.0011,            0,      0.00141,     0.000836,      0.00167,            0,      0.00198,      0.00122,       0.0011,     2.91e-05
        30,  299.729,    0.005,        0.0041608,       9.0624e-06,        0.0041699,      0.00172,      0.00243,      0.00138,            0,      0.00203,      0.00114,      0.00204,            0,      0.00273,      0.00159,      0.00347,     9.13e-05,        0.0022954,       7.7283e-07,        0.0022962,      0.00123,      0.00181,      0.00107,            0,      0.00137,     0.000815,      0.00164,            0,      0.00194,      0.00119,      0.00106,     2.78e-05
        31,  309.375,    0.005,        0.0043464,       7.5862e-06,         0.004354,      0.00177,      0.00249,      0.00142,            0,      0.00209,      0.00117,      0.00207,            0,      0.00281,      0.00163,      0.00325,     8.56e-05,        0.0022473,       7.6277e-07,        0.0022481,      0.00121,      0.00179,      0.00106,            0,      0.00135,     0.000804,      0.00162,            0,      0.00192,      0.00118,      0.00104,     2.74e-05
        32,  319.101,    0.005,         0.003846,       1.5393e-05,        0.0038614,      0.00165,      0.00234,      0.00136,            0,       0.0019,      0.00109,      0.00201,            0,       0.0026,      0.00154,       0.0042,      0.00011,        0.0021882,        7.111e-07,        0.0021889,       0.0012,      0.00176,      0.00104,            0,      0.00134,     0.000792,       0.0016,            0,       0.0019,      0.00117,      0.00101,     2.67e-05
        33,  328.766,    0.005,        0.0035722,       8.2248e-06,        0.0035805,      0.00161,      0.00225,      0.00131,            0,      0.00187,      0.00106,      0.00193,            0,      0.00251,      0.00148,      0.00331,     8.72e-05,        0.0021089,       6.8006e-07,        0.0021096,      0.00117,      0.00173,      0.00102,            0,       0.0013,     0.000772,      0.00158,            0,      0.00186,      0.00115,     0.000976,     2.57e-05
        34,  338.420,    0.005,        0.0041528,       1.2438e-05,        0.0041652,      0.00171,      0.00243,      0.00134,            0,      0.00204,      0.00113,      0.00197,            0,      0.00277,      0.00158,      0.00398,     0.000105,        0.0020593,       6.5922e-07,          0.00206,      0.00115,      0.00171,        0.001,            0,      0.00128,      0.00076,      0.00156,            0,      0.00184,      0.00113,     0.000957,     2.52e-05
        35,  348.227,    0.005,        0.0039791,       8.0039e-06,        0.0039871,       0.0017,      0.00238,      0.00137,            0,      0.00201,      0.00113,      0.00199,            0,      0.00268,      0.00156,      0.00327,      8.6e-05,         0.002017,       6.0382e-07,        0.0020176,      0.00113,      0.00169,     0.000992,            0,      0.00126,     0.000751,      0.00155,            0,      0.00182,      0.00112,     0.000938,     2.47e-05
        36,  357.996,    0.005,        0.0038772,       1.3508e-05,        0.0038907,      0.00164,      0.00235,      0.00124,            0,      0.00199,      0.00108,      0.00187,            0,      0.00271,      0.00153,      0.00414,     0.000109,        0.0019618,       5.2391e-07,        0.0019623,      0.00111,      0.00167,     0.000969,            0,      0.00124,     0.000735,      0.00152,            0,      0.00179,      0.00111,     0.000886,     2.33e-05
        37,  367.755,    0.005,        0.0032311,       6.6122e-06,        0.0032377,      0.00151,      0.00214,      0.00124,            0,      0.00175,     0.000998,      0.00186,            0,      0.00237,      0.00141,      0.00292,     7.68e-05,        0.0019005,       5.3695e-07,         0.001901,      0.00109,      0.00164,     0.000947,            0,      0.00121,     0.000719,       0.0015,            0,      0.00176,      0.00109,     0.000885,     2.33e-05
        38,  377.514,    0.005,        0.0033928,       8.1825e-06,         0.003401,      0.00154,       0.0022,      0.00122,            0,      0.00183,      0.00102,      0.00182,            0,      0.00249,      0.00144,      0.00324,     8.53e-05,        0.0018495,       5.1713e-07,          0.00185,      0.00107,      0.00162,     0.000934,            0,      0.00119,     0.000708,      0.00148,            0,      0.00174,      0.00107,     0.000872,      2.3e-05
        39,  387.264,    0.005,         0.003488,       6.6689e-06,        0.0034947,      0.00156,      0.00223,      0.00127,            0,      0.00182,      0.00103,       0.0019,            0,      0.00248,      0.00146,      0.00285,      7.5e-05,        0.0018185,       4.8479e-07,         0.001819,      0.00106,      0.00161,     0.000931,            0,      0.00118,     0.000703,      0.00147,            0,      0.00172,      0.00106,     0.000839,     2.21e-05
        40,  397.011,    0.005,        0.0032485,        6.392e-06,        0.0032548,       0.0015,      0.00215,      0.00121,            0,      0.00177,     0.000991,      0.00183,            0,       0.0024,      0.00141,      0.00288,     7.58e-05,        0.0017819,       5.1101e-07,        0.0017824,      0.00105,      0.00159,     0.000911,            0,      0.00117,     0.000692,      0.00145,            0,      0.00171,      0.00105,     0.000848,     2.23e-05
        41,  406.766,    0.005,        0.0031404,       5.0778e-06,        0.0031455,      0.00147,      0.00211,      0.00117,            0,      0.00174,      0.00097,      0.00178,            0,      0.00236,      0.00138,      0.00259,     6.82e-05,        0.0017339,       4.5665e-07,        0.0017344,      0.00102,      0.00157,     0.000893,            0,      0.00114,     0.000678,      0.00143,            0,      0.00168,      0.00104,     0.000817,     2.15e-05
        42,  415.482,    0.005,        0.0036969,       5.7008e-06,        0.0037026,      0.00161,      0.00229,      0.00125,            0,      0.00193,      0.00106,      0.00189,            0,       0.0026,       0.0015,      0.00278,     7.32e-05,        0.0017067,       4.4554e-07,        0.0017071,      0.00101,      0.00156,      0.00088,            0,      0.00113,      0.00067,      0.00142,            0,      0.00167,      0.00103,     0.000786,     2.07e-05
        43,  424.187,    0.005,        0.0030815,       6.0657e-06,        0.0030876,      0.00147,      0.00209,      0.00119,            0,      0.00172,      0.00097,      0.00179,            0,      0.00233,      0.00137,      0.00284,     7.48e-05,        0.0016745,       3.9322e-07,        0.0016749,     0.000998,      0.00154,     0.000864,            0,      0.00112,     0.000661,      0.00141,            0,      0.00165,      0.00102,     0.000761,        2e-05
        44,  433.951,    0.005,        0.0032836,       6.4707e-06,          0.00329,      0.00146,      0.00216,      0.00123,            0,      0.00167,     0.000965,      0.00192,            0,      0.00235,      0.00142,      0.00292,     7.67e-05,        0.0016356,       3.9542e-07,         0.001636,     0.000984,      0.00153,     0.000856,            0,       0.0011,     0.000652,       0.0014,            0,      0.00163,      0.00101,     0.000747,     1.96e-05
        45,  443.798,    0.005,        0.0031062,       6.0544e-06,        0.0031122,      0.00145,       0.0021,      0.00114,            0,      0.00172,     0.000954,      0.00178,            0,      0.00235,      0.00138,      0.00283,     7.46e-05,        0.0016102,       3.8041e-07,        0.0016106,     0.000972,      0.00151,     0.000839,            0,      0.00109,     0.000643,      0.00138,            0,      0.00162,        0.001,      0.00073,     1.92e-05
        46,  453.596,    0.005,        0.0031067,        4.715e-06,        0.0031114,      0.00145,       0.0021,      0.00115,            0,      0.00172,     0.000956,      0.00176,            0,      0.00237,      0.00138,      0.00252,     6.64e-05,        0.0015786,       3.5201e-07,        0.0015789,     0.000957,       0.0015,     0.000827,            0,      0.00107,     0.000634,      0.00137,            0,       0.0016,     0.000992,     0.000715,     1.88e-05
        47,  463.434,    0.005,        0.0024631,       7.4859e-06,        0.0024705,      0.00128,      0.00187,      0.00105,            0,      0.00148,     0.000845,      0.00165,            0,      0.00205,      0.00123,      0.00315,      8.3e-05,        0.0015414,       3.4598e-07,        0.0015418,     0.000939,      0.00148,     0.000812,            0,      0.00105,     0.000622,      0.00136,            0,      0.00158,      0.00098,     0.000704,     1.85e-05
        48,  473.251,    0.005,        0.0027496,       6.3716e-06,         0.002756,      0.00135,      0.00198,      0.00108,            0,       0.0016,     0.000894,      0.00169,            0,       0.0022,       0.0013,      0.00285,     7.51e-05,        0.0015088,       3.3581e-07,        0.0015092,     0.000926,      0.00146,     0.000799,            0,      0.00104,     0.000613,      0.00134,            0,      0.00157,      0.00097,     0.000697,     1.83e-05
        49,  483.095,    0.005,         0.002593,       8.5943e-06,        0.0026016,      0.00133,      0.00192,      0.00108,            0,      0.00156,     0.000877,      0.00166,            0,      0.00213,      0.00126,      0.00327,      8.6e-05,         0.001476,       3.0687e-07,        0.0014763,      0.00091,      0.00145,      0.00079,            0,      0.00102,     0.000603,      0.00133,            0,      0.00155,      0.00096,     0.000672,     1.77e-05
        50,  492.896,    0.005,         0.002716,       5.8441e-06,        0.0027218,      0.00135,      0.00196,      0.00107,            0,      0.00161,     0.000891,      0.00167,            0,      0.00219,      0.00129,      0.00249,     6.56e-05,        0.0014521,       3.0768e-07,        0.0014524,     0.000898,      0.00144,     0.000778,            0,      0.00101,     0.000595,      0.00132,            0,      0.00153,     0.000952,     0.000664,     1.75e-05
