epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_H_f_mae,training_B_f_mae,training_C_f_mae,training_psavg_f_mae,training_H_f_rmse,training_B_f_rmse,training_C_f_rmse,training_psavg_f_rmse,training_e_mae,training_e/N_mae,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_H_f_mae,validation_B_f_mae,validation_C_f_mae,validation_psavg_f_mae,validation_H_f_rmse,validation_B_f_rmse,validation_C_f_rmse,validation_psavg_f_rmse,validation_e_mae,validation_e/N_mae
         1,   16.308,    0.005,          0.34166,        0.0016792,          0.34334,       0.0144,       0.0221,       0.0082,            0,       0.0199,      0.00937,       0.0119,            0,       0.0282,       0.0134,       0.0402,      0.00106,         0.057942,       9.2627e-06,         0.057951,      0.00657,      0.00907,       0.0039,            0,      0.00897,      0.00429,      0.00505,            0,       0.0115,      0.00553,      0.00355,     9.34e-05
         2,   26.151,    0.005,         0.039852,       0.00013948,         0.039991,      0.00556,      0.00752,      0.00357,            0,      0.00735,      0.00364,      0.00465,            0,      0.00939,      0.00468,       0.0139,     0.000366,          0.02739,        3.521e-06,         0.027394,      0.00464,      0.00624,      0.00304,            0,      0.00608,      0.00304,      0.00396,            0,      0.00773,       0.0039,      0.00216,     5.69e-05
         3,   36.111,    0.005,         0.025789,       0.00013865,         0.025927,      0.00451,      0.00605,      0.00308,            0,       0.0058,      0.00296,      0.00404,            0,      0.00741,      0.00382,       0.0137,      0.00036,         0.019534,       3.3136e-06,         0.019537,      0.00397,      0.00527,       0.0028,            0,      0.00503,      0.00261,      0.00367,            0,      0.00637,      0.00335,      0.00227,     5.97e-05
         4,   45.903,    0.005,         0.019536,       9.2257e-05,         0.019629,      0.00398,      0.00527,      0.00293,            0,      0.00493,      0.00262,      0.00383,            0,      0.00628,      0.00337,        0.011,      0.00029,         0.015321,       3.2111e-06,         0.015324,      0.00352,      0.00467,      0.00253,            0,      0.00441,      0.00231,      0.00337,            0,      0.00558,      0.00298,      0.00224,     5.89e-05
         5,   55.698,    0.005,         0.019095,       9.5188e-05,         0.019191,      0.00393,      0.00521,      0.00285,            0,      0.00489,      0.00258,      0.00375,            0,      0.00624,      0.00333,       0.0111,     0.000291,         0.013092,        3.073e-06,         0.013095,      0.00324,      0.00431,      0.00236,            0,      0.00403,      0.00213,      0.00319,            0,      0.00512,      0.00277,      0.00217,      5.7e-05
         6,   65.494,    0.005,          0.01378,       5.1394e-05,         0.013831,      0.00333,      0.00443,      0.00249,            0,       0.0041,      0.00219,      0.00333,            0,      0.00522,      0.00285,      0.00818,     0.000215,         0.011236,       2.9979e-06,         0.011239,      0.00299,      0.00399,      0.00223,            0,      0.00368,      0.00197,      0.00303,            0,      0.00469,      0.00258,       0.0021,     5.53e-05
         7,   75.320,    0.005,         0.012551,       3.9878e-05,         0.012591,      0.00317,      0.00422,      0.00237,            0,      0.00389,      0.00209,      0.00321,            0,      0.00496,      0.00272,       0.0072,     0.000189,        0.0098004,       3.1078e-06,        0.0098036,      0.00278,      0.00373,       0.0021,            0,       0.0034,      0.00183,      0.00289,            0,      0.00435,      0.00241,      0.00212,     5.59e-05
         8,   85.117,    0.005,         0.011342,       0.00011598,         0.011458,      0.00301,      0.00401,      0.00231,            0,      0.00365,      0.00199,      0.00312,            0,      0.00468,       0.0026,       0.0124,     0.000325,        0.0086835,       3.1332e-06,        0.0086866,       0.0026,      0.00351,      0.00199,            0,      0.00316,      0.00172,      0.00278,            0,      0.00406,      0.00228,      0.00212,     5.57e-05
         9,   94.899,    0.005,         0.011303,       8.7265e-05,          0.01139,      0.00302,      0.00401,      0.00235,            0,      0.00362,      0.00199,      0.00319,            0,      0.00462,       0.0026,       0.0104,     0.000274,        0.0078622,          3.1e-06,        0.0078653,      0.00247,      0.00334,       0.0019,            0,      0.00298,      0.00163,      0.00268,            0,      0.00384,      0.00217,      0.00209,     5.51e-05
        10,  104.716,    0.005,        0.0095126,       2.9626e-05,        0.0095422,      0.00275,      0.00368,      0.00218,            0,      0.00326,      0.00181,      0.00299,            0,       0.0042,       0.0024,      0.00607,      0.00016,        0.0071164,       3.0425e-06,        0.0071195,      0.00234,      0.00318,      0.00183,            0,      0.00279,      0.00154,       0.0026,            0,      0.00362,      0.00207,      0.00211,     5.54e-05
