epoch, batch, loss, loss_f, loss_e, f_mae, f_rmse, H_f_mae, B_f_mae, C_f_mae, psavg_f_mae, H_f_rmse, B_f_rmse, C_f_rmse, psavg_f_rmse, e_mae, e/N_mae
    1,     1,           0.6961,          0.69523,       0.00087006,         0.020017,          0.03142,         0.015024,                0,         0.024511,         0.013178,         0.022789,                0,         0.037527,         0.020106,         0.034094,       0.00089722
    1,     2,            1.177,            1.177,       2.6161e-05,         0.030649,         0.040882,         0.021457,                0,         0.038921,         0.020126,         0.027851,                0,         0.049773,         0.025875,        0.0066895,       0.00017604
    1,     3,           1.0053,           1.0053,       3.7125e-05,         0.027161,         0.037782,          0.01973,                0,          0.03385,          0.01786,         0.026227,                0,         0.045751,         0.023992,        0.0066162,       0.00017411
    1,     4,           1.0569,           1.0567,       0.00014514,         0.027853,         0.038737,         0.017478,                0,          0.03719,         0.018223,         0.023204,                0,         0.048646,          0.02395,         0.016492,       0.00043399
    1,     5,          0.87816,           0.8781,       5.4515e-05,         0.025474,         0.035311,         0.017092,                0,         0.033018,         0.016703,         0.022231,                0,         0.043867,         0.022033,        0.0094604,       0.00024896
    1,     6,           1.1189,           1.1184,       0.00051695,         0.029645,         0.039851,         0.020596,                0,         0.037788,         0.019461,          0.02705,                0,         0.048567,         0.025206,         0.029443,       0.00077483
    1,     7,          0.97368,          0.97301,       0.00066854,         0.027321,         0.037171,         0.018327,                0,         0.035416,         0.017914,         0.025169,                0,         0.045332,           0.0235,         0.036511,       0.00096082
    1,     8,           0.8504,          0.84966,       0.00073784,         0.024599,         0.034735,         0.014887,                0,         0.033339,         0.016076,         0.020507,                0,         0.043748,         0.021418,         0.037439,       0.00098524
    1,     9,          0.87004,          0.86878,        0.0012629,          0.02562,         0.035123,         0.015499,                0,         0.034729,         0.016743,         0.020547,                0,         0.044317,         0.021621,         0.048853,        0.0012856
    1,    10,            0.874,          0.87273,        0.0012658,         0.025634,         0.035203,         0.016986,                0,         0.033418,         0.016801,         0.022153,                0,         0.043737,         0.021963,         0.049512,        0.0013029
    1,    11,          0.95724,          0.95455,        0.0026849,          0.02738,         0.036816,         0.017037,                0,         0.036688,         0.017908,          0.02261,                0,         0.045992,         0.022867,         0.073303,         0.001929
    1,    12,          0.96326,          0.95952,        0.0037481,         0.026774,         0.036912,         0.017097,                0,         0.035484,         0.017527,          0.02237,                0,         0.046243,         0.022871,         0.087549,        0.0023039
    1,    13,           1.0605,           1.0544,        0.0061766,         0.027842,         0.038693,         0.016902,                0,         0.037689,         0.018197,         0.023138,                0,         0.048609,         0.023916,          0.11166,        0.0029384
    1,    14,          0.87055,          0.86327,        0.0072794,         0.025785,         0.035012,         0.017328,                0,         0.033397,         0.016908,         0.024356,                0,         0.042369,         0.022242,          0.12203,        0.0032114
    1,    15,           1.0148,           1.0033,         0.011522,         0.027659,         0.037745,         0.016838,                0,         0.037398,         0.018079,         0.022448,                0,         0.047469,         0.023306,          0.15345,        0.0040383
    1,    16,          0.45472,          0.44459,         0.010128,         0.018491,         0.025126,         0.011155,                0,         0.025093,         0.012083,         0.014675,                0,         0.031712,         0.015463,          0.14235,         0.003746
