# Step; Sim. Time; t_SCF; t_Grad; Temp; E_Kin; E_Pot; E_Tot; Cons.Qty; Drift
         0;          0.0;    171.0;         ;     500.00;    0.090254;     -772.156241;     -772.065987;                ;          
         1;          0.5;    120.6;     45.9;     487.77;    0.088047;     -772.153029;     -772.064982;     -772.065098;      0.00
         2;          1.0;    121.7;     46.5;     460.87;    0.083191;     -772.147729;     -772.064538;     -772.065026;      0.20
         3;          1.5;    120.3;     45.1;     430.06;    0.077630;     -772.141436;     -772.063806;     -772.064958;      0.39
         4;          2.0;    132.2;     46.8;     400.91;    0.072367;     -772.135177;     -772.062809;     -772.064903;      0.54
         5;          2.5;    122.0;     44.9;     377.43;    0.068129;     -772.129741;     -772.061612;     -772.064870;      0.63
         6;          3.0;    109.4;     46.9;     361.63;    0.065277;     -772.125578;     -772.060301;     -772.064874;      0.62
         7;          3.5;    133.0;     46.2;     353.45;    0.063801;     -772.122741;     -772.058940;     -772.064905;      0.54
         8;          4.0;    109.7;     46.3;     350.55;    0.063277;     -772.120848;     -772.057571;     -772.064956;      0.39
         9;          4.5;    132.5;     46.5;     348.92;    0.062983;     -772.119181;     -772.056198;     -772.065019;      0.22
        10;          5.0;    141.8;     45.2;     344.06;    0.062106;     -772.116865;     -772.054759;     -772.065061;      0.10
        11;          5.5;    140.8;     45.1;     332.54;    0.060025;     -772.113203;     -772.053178;     -772.065071;      0.08
        12;          6.0;    145.6;     45.4;     314.06;    0.056691;     -772.108057;     -772.051367;     -772.065026;      0.20
        13;          6.5;    142.1;     46.4;     292.71;    0.052837;     -772.102136;     -772.049299;     -772.064927;      0.47
        14;          7.0;    111.0;     46.6;     276.52;    0.049915;     -772.096976;     -772.047062;     -772.064813;      0.79
        15;          7.5;    140.2;     46.3;     274.89;    0.049619;     -772.094470;     -772.044850;     -772.064741;      0.99
        16;          8.0;    110.7;     46.3;     293.74;    0.053023;     -772.095932;     -772.042909;     -772.064759;      0.94
        17;          8.5;    140.7;     45.5;     331.39;    0.059819;     -772.101245;     -772.041426;     -772.064878;      0.61
        18;          9.0;    120.1;     45.9;     378.32;    0.068290;     -772.108717;     -772.040428;     -772.065035;      0.17
        19;          9.5;    120.6;     43.4;     421.73;    0.076125;     -772.115934;     -772.039809;     -772.065160;     -0.17
        20;         10.0;    116.8;     44.2;     451.63;    0.081523;     -772.120923;     -772.039399;     -772.065210;     -0.31
        21;         10.5;    119.4;     44.3;     464.27;    0.083805;     -772.122845;     -772.039039;     -772.065189;     -0.25
        22;         11.0;    137.8;     43.7;     461.90;    0.083377;     -772.121992;     -772.038615;     -772.065127;     -0.08
        23;         11.5;    138.2;     45.7;     450.45;    0.081309;     -772.119380;     -772.038070;     -772.065053;      0.12
        24;         12.0;    139.9;     43.3;     436.92;    0.078867;     -772.116272;     -772.037405;     -772.064987;      0.31
        25;         12.5;    138.0;     44.6;     427.44;    0.077157;     -772.113827;     -772.036671;     -772.064942;      0.43
        26;         13.0;    137.3;     45.2;     426.17;    0.076928;     -772.112880;     -772.035952;     -772.064925;      0.48
        27;         13.5;    135.9;     45.4;     434.69;    0.078465;     -772.113812;     -772.035347;     -772.064941;      0.44
        28;         14.0;    138.3;     44.0;     451.80;    0.081553;     -772.116490;     -772.034937;     -772.064989;      0.30
        29;         14.5;    125.3;     44.6;     473.68;    0.085503;     -772.120263;     -772.034760;     -772.065061;      0.10
        30;         15.0;    130.3;     45.5;     494.64;    0.089286;     -772.124077;     -772.034790;     -772.065143;     -0.12
        31;         15.5;    128.6;     44.2;     508.44;    0.091778;     -772.126719;     -772.034941;     -772.065213;     -0.32
        32;         16.0;    129.0;     44.0;     510.29;    0.092112;     -772.127183;     -772.035071;     -772.065245;     -0.41
        33;         16.5;    129.9;     43.0;     498.80;    0.090038;     -772.125072;     -772.035034;     -772.065220;     -0.34
        34;         17.0;    128.6;     44.3;     477.32;    0.086161;     -772.120893;     -772.034732;     -772.065133;     -0.10
        35;         17.5;    133.1;     45.7;     453.67;    0.081892;     -772.116063;     -772.034171;     -772.065013;      0.24
        36;         18.0;    137.4;     44.7;     437.67;    0.079003;     -772.112485;     -772.033482;     -772.064915;      0.51
        37;         18.5;    140.0;     44.5;     436.91;    0.078865;     -772.111728;     -772.032862;     -772.064895;      0.56
        38;         19.0;    139.2;     43.9;     452.69;    0.081714;     -772.114199;     -772.032486;     -772.064968;      0.36
        39;         19.5;    142.2;     45.4;     478.91;    0.086447;     -772.118862;     -772.032416;     -772.065098;      0.00
        40;         20.0;    138.3;     43.9;     505.09;    0.091174;     -772.123760;     -772.032586;     -772.065220;     -0.34
        41;         20.5;    140.9;     45.3;     521.59;    0.094151;     -772.127006;     -772.032855;     -772.065285;     -0.52
        42;         21.0;    139.5;     43.5;     523.52;    0.094500;     -772.127574;     -772.033073;     -772.065279;     -0.50
        43;         21.5;    137.5;     42.4;     511.75;    0.092376;     -772.125504;     -772.033128;     -772.065222;     -0.34
        44;         22.0;    141.4;     44.2;     491.31;    0.088686;     -772.121650;     -772.032965;     -772.065141;     -0.12
        45;         22.5;    139.5;     45.0;     468.99;    0.084657;     -772.117247;     -772.032590;     -772.065061;      0.10
        46;         23.0;    110.8;     44.5;     451.21;    0.081447;     -772.113519;     -772.032072;     -772.065007;      0.25
        47;         23.5;    140.7;     44.7;     442.76;    0.079921;     -772.111425;     -772.031504;     -772.064983;      0.32
        48;         24.0;    141.0;     44.3;     445.86;    0.080481;     -772.111470;     -772.030989;     -772.064982;      0.32
        49;         24.5;    141.4;     45.4;     459.68;    0.082976;     -772.113616;     -772.030641;     -772.065017;      0.23
        50;         25.0;    129.4;     45.0;     480.54;    0.086741;     -772.117259;     -772.030518;     -772.065079;      0.05
        51;         25.5;    132.3;     45.7;     502.55;    0.090715;     -772.121333;     -772.030618;     -772.065155;     -0.16
        52;         26.0;    128.9;     45.1;     519.04;    0.093691;     -772.124558;     -772.030866;     -772.065222;     -0.34
        53;         26.5;    132.1;     43.8;     524.52;    0.094680;     -772.125812;     -772.031132;     -772.065255;     -0.43
        54;         27.0;    138.1;     45.3;     516.71;    0.093270;     -772.124542;     -772.031272;     -772.065236;     -0.38
        55;         27.5;    141.7;     45.4;     497.92;    0.089878;     -772.121057;     -772.031179;     -772.065163;     -0.18
        56;         28.0;    141.7;     44.4;     474.80;    0.085705;     -772.116539;     -772.030834;     -772.065057;      0.11
        57;         28.5;    138.4;     45.9;     456.04;    0.082320;     -772.112645;     -772.030325;     -772.064966;      0.37
        58;         29.0;    119.1;     43.2;     448.63;    0.080982;     -772.110789;     -772.029807;     -772.064935;      0.45
        59;         29.5;    121.8;     41.0;     454.53;    0.082046;     -772.111461;     -772.029414;     -772.064975;      0.34
        60;         30.0;    141.5;     42.4;     469.80;    0.084803;     -772.114019;     -772.029216;     -772.065064;      0.10
        61;         30.5;    137.3;     42.5;     486.84;    0.087878;     -772.117062;     -772.029184;     -772.065157;     -0.16
        62;         31.0;    132.3;     42.5;     498.10;    0.089911;     -772.119132;     -772.029221;     -772.065212;     -0.31
        63;         31.5;    134.8;     44.2;     499.19;    0.090108;     -772.119323;     -772.029215;     -772.065213;     -0.32
        64;         32.0;    114.2;     42.8;     490.15;    0.088476;     -772.117552;     -772.029076;     -772.065168;     -0.19
        65;         32.5;    114.5;     42.9;     474.70;    0.085688;     -772.114453;     -772.028765;     -772.065098;      0.00
        66;         33.0;    114.2;     42.8;     458.47;    0.082758;     -772.111057;     -772.028299;     -772.065026;      0.20
        67;         33.5;    113.1;     42.7;     447.08;    0.080702;     -772.108441;     -772.027739;     -772.064969;      0.36
        68;         34.0;    113.9;     42.1;     444.72;    0.080276;     -772.107460;     -772.027183;     -772.064938;      0.44
        69;         34.5;    111.5;     41.6;     453.23;    0.081812;     -772.108552;     -772.026741;     -772.064940;      0.44
        70;         35.0;    110.5;     42.2;     471.66;    0.085138;     -772.111644;     -772.026506;     -772.064974;      0.34
        71;         35.5;    131.9;     43.0;     496.37;    0.089599;     -772.116131;     -772.026532;     -772.065035;      0.17
        72;         36.0;    138.0;     42.8;     521.77;    0.094183;     -772.120996;     -772.026812;     -772.065109;     -0.03
        73;         36.5;    132.6;     43.1;     541.63;    0.097768;     -772.125043;     -772.027275;     -772.065175;     -0.21
        74;         37.0;    133.1;     42.4;     550.87;    0.099436;     -772.127232;     -772.027796;     -772.065213;     -0.32
        75;         37.5;    133.6;     43.2;     547.22;    0.098778;     -772.127015;     -772.028238;     -772.065206;     -0.30
        76;         38.0;    133.9;     42.7;     532.23;    0.096072;     -772.124563;     -772.028491;     -772.065153;     -0.15
        77;         38.5;    140.0;     42.4;     511.02;    0.092243;     -772.120759;     -772.028515;     -772.065073;      0.07
        78;         39.0;    113.9;     42.6;     490.53;    0.088544;     -772.116894;     -772.028350;     -772.064998;      0.28
        79;         39.5;    121.6;     42.6;     476.66;    0.086041;     -772.114133;     -772.028092;     -772.064962;      0.38
        80;         40.0;    112.6;     42.4;     471.80;    0.085164;     -772.113003;     -772.027840;     -772.064977;      0.34
        81;         40.5;    122.1;     42.6;     474.19;    0.085596;     -772.113240;     -772.027644;     -772.065027;      0.20
        82;         41.0;    122.5;     42.5;     479.37;    0.086531;     -772.114031;     -772.027500;     -772.065079;      0.05
        83;         41.5;    122.1;     42.4;     482.42;    0.087080;     -772.114448;     -772.027367;     -772.065113;     -0.04
        84;         42.0;    121.8;     42.5;     480.00;    0.086643;     -772.113823;     -772.027179;     -772.065115;     -0.05
        85;         42.5;    112.9;     44.5;     471.44;    0.085099;     -772.111977;     -772.026878;     -772.065085;      0.04
        86;         43.0;    111.8;     42.2;     458.83;    0.082822;     -772.109258;     -772.026436;     -772.065034;      0.18
        87;         43.5;    120.8;     42.3;     446.15;    0.080533;     -772.106396;     -772.025863;     -772.064973;      0.35
        88;         44.0;    112.5;     42.5;     437.89;    0.079042;     -772.104263;     -772.025221;     -772.064921;      0.49
        89;         44.5;    121.3;     42.0;     437.76;    0.079019;     -772.103619;     -772.024600;     -772.064891;      0.57
        90;         45.0;    122.7;     42.3;     447.59;    0.080794;     -772.104895;     -772.024101;     -772.064891;      0.58
        91;         45.5;    120.4;     42.4;     466.71;    0.084244;     -772.108061;     -772.023816;     -772.064922;      0.49
        92;         46.0;    122.0;     42.6;     491.84;    0.088782;     -772.112579;     -772.023797;     -772.064980;      0.33
        93;         46.5;    126.7;     42.2;     517.76;    0.093460;     -772.117498;     -772.024038;     -772.065053;      0.13
        94;         47.0;    131.9;     42.4;     538.46;    0.097196;     -772.121670;     -772.024474;     -772.065123;     -0.07
        95;         47.5;    128.2;     42.3;     548.89;    0.099078;     -772.124062;     -772.024983;     -772.065168;     -0.19
        96;         48.0;    132.6;     42.2;     546.52;    0.098651;     -772.124080;     -772.025429;     -772.065171;     -0.20
        97;         48.5;    122.3;     41.5;     532.34;    0.096091;     -772.121788;     -772.025697;     -772.065132;     -0.09
        98;         49.0;    132.2;     41.9;     510.71;    0.092186;     -772.117918;     -772.025732;     -772.065065;      0.09
        99;         49.5;    122.6;     43.3;     487.72;    0.088038;     -772.113590;     -772.025553;     -772.065003;      0.26
       100;         50.0;    112.7;     42.1;     468.67;    0.084599;     -772.109825;     -772.025226;     -772.064974;      0.34
