# Step; Sim. Time; t_SCF; t_Grad; Temp; E_Kin; E_Pot; E_Tot; Cons.Qty; Drift
         0;          0.0;    227.3;         ;     500.00;    0.090254;     -772.185522;     -772.095267;                ;          
         1;          0.5;    140.8;     54.2;     488.85;    0.088242;     -772.182926;     -772.094684;     -772.094790;      0.00
         2;          1.0;    139.1;     54.5;     461.57;    0.083317;     -772.177558;     -772.094241;     -772.094712;      0.22
         3;          1.5;    135.8;     55.0;     427.22;    0.077117;     -772.170583;     -772.093467;     -772.094629;      0.45
         4;          2.0;    141.5;     54.2;     392.63;    0.070873;     -772.163250;     -772.092376;     -772.094559;      0.64
         5;          2.5;    149.1;     49.6;     363.38;    0.065593;     -772.156623;     -772.091030;     -772.094511;      0.77
         6;          3.0;    152.1;     54.5;     342.87;    0.061890;     -772.151409;     -772.089519;     -772.094493;      0.82
         7;          3.5;    143.1;     52.3;     331.88;    0.059906;     -772.147844;     -772.087937;     -772.094508;      0.78
         8;          4.0;    123.3;     55.6;     328.51;    0.059299;     -772.145658;     -772.086359;     -772.094559;      0.64
         9;          4.5;    153.1;     54.5;     328.79;    0.059348;     -772.144149;     -772.084800;     -772.094627;      0.45
        10;          5.0;    152.9;     52.8;     327.62;    0.059138;     -772.142353;     -772.083216;     -772.094680;      0.31
        11;          5.5;    149.1;     54.7;     320.36;    0.057828;     -772.139362;     -772.081534;     -772.094705;      0.24
        12;          6.0;    152.5;     54.0;     304.97;    0.055049;     -772.134704;     -772.079655;     -772.094679;      0.31
        13;          6.5;    150.7;     53.2;     283.60;    0.051193;     -772.128705;     -772.077513;     -772.094592;      0.55
        14;          7.0;    152.2;     54.3;     263.12;    0.047495;     -772.122629;     -772.075134;     -772.094464;      0.90
        15;          7.5;    137.5;     52.4;     253.21;    0.045706;     -772.118384;     -772.072678;     -772.094353;      1.21
        16;          8.0;    137.2;     53.7;     262.17;    0.047323;     -772.117711;     -772.070388;     -772.094322;      1.30
        17;          8.5;    151.5;     53.8;     291.88;    0.052687;     -772.121175;     -772.068488;     -772.094400;      1.08
        18;          9.0;    148.2;     53.2;     335.48;    0.060557;     -772.127631;     -772.067073;     -772.094548;      0.67
        19;          9.5;    155.4;     54.7;     380.27;    0.068642;     -772.134722;     -772.066080;     -772.094692;      0.27
        20;         10.0;    150.2;     53.5;     413.95;    0.074721;     -772.140063;     -772.065342;     -772.094771;      0.05
        21;         10.5;    152.0;     51.7;     429.61;    0.077547;     -772.142220;     -772.064673;     -772.094771;      0.05
        22;         11.0;    144.8;     53.6;     427.10;    0.077096;     -772.141015;     -772.063920;     -772.094710;      0.22
        23;         11.5;    135.1;     53.9;     411.48;    0.074276;     -772.137266;     -772.062990;     -772.094622;      0.47
        24;         12.0;    165.3;     54.4;     390.27;    0.070446;     -772.132304;     -772.061858;     -772.094532;      0.72
        25;         12.5;    160.0;     54.3;     371.02;    0.066973;     -772.127534;     -772.060562;     -772.094461;      0.91
