# Step; Sim. Time; t_SCF; t_Grad; Temp; E_Kin; E_Pot; E_Tot; Cons.Qty; Drift
         0;          0.0;    277.0;         ;     500.00;    0.142506;    -1207.432389;    -1207.289883;                ;          
         1;          0.5;    261.3;     93.0;     489.64;    0.139552;    -1207.429116;    -1207.289563;    -1207.289719;      0.00
         2;          1.0;    265.7;     93.5;     462.71;    0.131879;    -1207.420780;    -1207.288901;    -1207.289616;      0.18
         3;          1.5;    259.7;     92.7;     425.72;    0.121336;    -1207.408962;    -1207.287626;    -1207.289455;      0.46
         4;          2.0;    259.5;     92.8;     387.12;    0.110334;    -1207.396085;    -1207.285752;    -1207.289274;      0.78
         5;          2.5;    297.9;     93.5;     355.60;    0.101351;    -1207.384806;    -1207.283455;    -1207.289143;      1.01
         6;          3.0;    298.5;     93.8;     336.95;    0.096034;    -1207.377022;    -1207.280988;    -1207.289122;      1.05
         7;          3.5;    280.4;     94.2;     331.43;    0.094463;    -1207.373012;    -1207.278549;    -1207.289212;      0.89
         8;          4.0;    240.0;     93.3;     333.84;    0.095147;    -1207.371348;    -1207.276200;    -1207.289356;      0.64
         9;          4.5;    273.0;     98.4;     336.16;    0.095809;    -1207.369676;    -1207.273866;    -1207.289480;      0.42
        10;          5.0;    239.8;     93.6;     331.37;    0.094444;    -1207.365833;    -1207.271390;    -1207.289532;      0.33
        11;          5.5;    241.5;     92.5;     316.13;    0.090101;    -1207.358697;    -1207.268597;    -1207.289498;      0.39
        12;          6.0;    238.8;     92.4;     291.87;    0.083185;    -1207.348539;    -1207.265353;    -1207.289376;      0.60
        13;          6.5;    239.3;     97.4;     264.29;    0.075327;    -1207.336965;    -1207.261638;    -1207.289197;      0.92
        14;          7.0;    237.1;     92.7;     241.93;    0.068953;    -1207.326530;    -1207.257577;    -1207.289007;      1.25
        15;          7.5;    195.6;     92.8;     233.63;    0.066588;    -1207.320028;    -1207.253439;    -1207.288865;      1.50
        16;          8.0;    296.0;     93.3;     245.42;    0.069949;    -1207.319547;    -1207.249598;    -1207.288843;      1.54
        17;          8.5;    278.8;     93.1;     277.71;    0.079151;    -1207.325517;    -1207.246365;    -1207.288945;      1.36
        18;          9.0;    260.0;     98.0;     324.53;    0.092496;    -1207.336403;    -1207.243907;    -1207.289118;      1.05
        19;          9.5;    261.7;     93.5;     375.86;    0.107125;    -1207.349344;    -1207.242219;    -1207.289292;      0.75
        20;         10.0;    242.4;     93.2;     421.51;    0.120135;    -1207.361306;    -1207.241171;    -1207.289422;      0.52
        21;         10.5;    241.0;     92.9;     454.09;    0.129421;    -1207.369976;    -1207.240555;    -1207.289495;      0.39
        22;         11.0;    281.5;     93.3;     469.93;    0.133936;    -1207.374058;    -1207.240122;    -1207.289512;      0.36
        23;         11.5;    280.8;     92.9;     468.80;    0.133615;    -1207.373231;    -1207.239616;    -1207.289474;      0.43
        24;         12.0;    280.1;     92.9;     453.69;    0.129307;    -1207.368127;    -1207.238820;    -1207.289373;      0.61
        25;         12.5;    261.1;     92.8;     430.65;    0.122741;    -1207.360361;    -1207.237620;    -1207.289213;      0.89
        26;         13.0;    297.9;     93.2;     408.07;    0.116306;    -1207.352373;    -1207.236067;    -1207.289040;      1.19
        27;         13.5;    299.0;     93.2;     394.24;    0.112364;    -1207.346738;    -1207.234374;    -1207.288933;      1.38
        28;         14.0;    261.2;     93.6;     393.60;    0.112180;    -1207.344980;    -1207.232800;    -1207.288955;      1.34
        29;         14.5;    282.2;     93.8;     403.94;    0.115128;    -1207.346631;    -1207.231503;    -1207.289099;      1.09
        30;         15.0;    283.8;     93.3;     417.23;    0.118915;    -1207.349365;    -1207.230450;    -1207.289288;      0.76
        31;         15.5;    283.4;     93.7;     423.59;    0.120727;    -1207.350171;    -1207.229443;    -1207.289427;      0.51
        32;         16.0;    242.9;     94.0;     415.85;    0.118523;    -1207.346741;    -1207.228218;    -1207.289464;      0.45
        33;         16.5;    283.8;     93.7;     392.30;    0.111810;    -1207.338339;    -1207.226529;    -1207.289391;      0.58
        34;         17.0;    282.4;     98.9;     357.06;    0.101768;    -1207.325981;    -1207.224213;    -1207.289219;      0.88
        35;         17.5;    283.0;     93.9;     318.74;    0.090845;    -1207.312120;    -1207.221276;    -1207.289001;      1.26
        36;         18.0;    300.0;     93.8;     287.83;    0.082034;    -1207.299928;    -1207.217894;    -1207.288802;      1.61
        37;         18.5;    241.6;     93.9;     273.43;    0.077931;    -1207.292315;    -1207.214384;    -1207.288691;      1.80
        38;         19.0;    300.3;     93.2;     280.00;    0.079803;    -1207.290907;    -1207.211104;    -1207.288711;      1.77
        39;         19.5;    321.8;     94.0;     305.39;    0.087039;    -1207.295356;    -1207.208317;    -1207.288843;      1.54
        40;         20.0;    326.7;     94.8;     341.60;    0.097361;    -1207.303478;    -1207.206117;    -1207.289019;      1.23
        41;         20.5;    323.7;     93.7;     378.30;    0.107821;    -1207.312257;    -1207.204436;    -1207.289164;      0.97
        42;         21.0;    324.0;     93.6;     406.78;    0.115938;    -1207.319052;    -1207.203114;    -1207.289240;      0.84
        43;         21.5;    243.6;     93.6;     422.19;    0.120330;    -1207.322284;    -1207.201954;    -1207.289247;      0.83
        44;         22.0;    282.7;     93.1;     423.68;    0.120753;    -1207.321516;    -1207.200763;    -1207.289201;      0.91
        45;         22.5;    282.1;     93.0;     413.72;    0.117916;    -1207.317285;    -1207.199368;    -1207.289101;      1.08
        46;         23.0;    299.8;     93.8;     397.59;    0.113318;    -1207.311000;    -1207.197683;    -1207.288951;      1.35
        47;         23.5;    259.9;     93.9;     382.62;    0.109053;    -1207.304805;    -1207.195752;    -1207.288782;      1.64
        48;         24.0;    260.6;     93.8;     376.54;    0.107319;    -1207.301091;    -1207.193772;    -1207.288653;      1.87
        49;         24.5;    299.8;     92.8;     384.42;    0.109566;    -1207.301580;    -1207.192015;    -1207.288629;      1.91
        50;         25.0;    300.6;     93.1;     406.01;    0.115719;    -1207.306421;    -1207.190702;    -1207.288727;      1.74
        51;         25.5;    315.0;     93.3;     435.18;    0.124033;    -1207.313934;    -1207.189901;    -1207.288898;      1.44
        52;         26.0;    302.2;     93.3;     462.39;    0.131788;    -1207.321295;    -1207.189506;    -1207.289068;      1.14
        53;         26.5;    282.8;     93.0;     478.70;    0.136437;    -1207.325724;    -1207.189287;    -1207.289168;      0.97
        54;         27.0;    263.0;     93.9;     479.26;    0.136597;    -1207.325565;    -1207.188969;    -1207.289160;      0.98
        55;         27.5;    263.0;     93.7;     464.86;    0.132491;    -1207.320821;    -1207.188329;    -1207.289048;      1.18
        56;         28.0;    263.2;     93.4;     441.51;    0.125836;    -1207.313108;    -1207.187272;    -1207.288868;      1.49
        57;         28.5;    262.6;     93.8;     418.49;    0.119276;    -1207.305134;    -1207.185858;    -1207.288677;      1.83
        58;         29.0;    261.7;     93.1;     405.28;    0.115510;    -1207.299810;    -1207.184299;    -1207.288539;      2.07
        59;         29.5;    261.0;     93.2;     408.21;    0.116346;    -1207.299236;    -1207.182890;    -1207.288507;      2.13
        60;         30.0;    281.5;     92.8;     427.99;    0.121982;    -1207.303881;    -1207.181899;    -1207.288596;      1.97
        61;         30.5;    282.7;     93.3;     459.33;    0.130916;    -1207.312374;    -1207.181458;    -1207.288765;      1.67
        62;         31.0;    284.0;     93.8;     493.40;    0.140626;    -1207.322155;    -1207.181530;    -1207.288936;      1.37
        63;         31.5;    297.1;     94.6;     521.53;    0.148644;    -1207.330614;    -1207.181970;    -1207.289053;      1.17
        64;         32.0;    243.3;     94.9;     538.18;    0.153388;    -1207.335980;    -1207.182591;    -1207.289101;      1.08
        65;         32.5;    265.1;     94.1;     541.63;    0.154370;    -1207.337578;    -1207.183208;    -1207.289094;      1.10
        66;         33.0;    303.0;     93.3;     533.30;    0.151996;    -1207.335657;    -1207.183661;    -1207.289047;      1.18
        67;         33.5;    305.7;     93.4;     517.03;    0.147359;    -1207.331193;    -1207.183834;    -1207.288965;      1.32
        68;         34.0;    258.4;     92.7;     498.60;    0.142109;    -1207.325806;    -1207.183698;    -1207.288849;      1.53
        69;         34.5;    297.2;     92.5;     484.94;    0.138215;    -1207.321574;    -1207.183358;    -1207.288736;      1.73
        70;         35.0;    317.4;     92.8;     482.15;    0.137418;    -1207.320459;    -1207.183041;    -1207.288687;      1.81
        71;         35.5;    299.8;     93.5;     492.62;    0.140402;    -1207.323394;    -1207.182992;    -1207.288748;      1.70
        72;         36.0;    299.7;     92.3;     513.16;    0.146258;    -1207.329610;    -1207.183352;    -1207.288911;      1.42
        73;         36.5;    261.5;     92.6;     535.89;    0.152735;    -1207.336811;    -1207.184076;    -1207.289096;      1.09
        74;         37.0;    260.6;     91.7;     551.53;    0.157192;    -1207.342176;    -1207.184984;    -1207.289231;      0.86
        75;         37.5;    279.0;     91.7;     553.19;    0.157666;    -1207.343504;    -1207.185838;    -1207.289288;      0.76
