# Step; Sim. Time; t_SCF; t_Grad; Temp; E_Kin; E_Pot; E_Tot; Cons.Qty; Drift
         0;          0.0;    170.5;         ;     500.00;    0.090254;     -772.164676;     -772.074422;                ;          
         1;          0.5;    136.9;     51.7;     488.50;    0.088179;     -772.161687;     -772.073509;     -772.073618;      0.00
         2;          1.0;    132.6;     45.7;     463.44;    0.083655;     -772.156736;     -772.073081;     -772.073538;      0.22
         3;          1.5;    109.7;     43.6;     435.00;    0.078520;     -772.150920;     -772.072400;     -772.073474;      0.40
         4;          2.0;    132.6;     47.9;     408.61;    0.073757;     -772.145242;     -772.071485;     -772.073428;      0.53
         5;          2.5;    116.5;     43.7;     388.06;    0.070048;     -772.140439;     -772.070391;     -772.073397;      0.61
         6;          3.0;    135.8;     43.5;     375.02;    0.067694;     -772.136895;     -772.069201;     -772.073394;      0.62
         7;          3.5;    144.5;     44.6;     368.94;    0.066596;     -772.134576;     -772.067980;     -772.073418;      0.55
         8;          4.0;    135.3;     43.5;     367.09;    0.066263;     -772.133026;     -772.066763;     -772.073464;      0.43
         9;          4.5;    136.1;     48.6;     365.22;    0.065926;     -772.131461;     -772.065536;     -772.073517;      0.28
        10;          5.0;    141.5;     43.5;     358.75;    0.064758;     -772.128991;     -772.064233;     -772.073557;      0.17
        11;          5.5;    136.3;     43.6;     344.64;    0.062210;     -772.124967;     -772.062757;     -772.073557;      0.17
        12;          6.0;    131.2;     49.1;     323.25;    0.058349;     -772.119367;     -772.061018;     -772.073497;      0.34
        13;          6.5;    137.2;     45.5;     299.48;    0.054059;     -772.113061;     -772.059002;     -772.073385;      0.65
        14;          7.0;    107.9;     43.7;     281.98;    0.050900;     -772.107715;     -772.056815;     -772.073270;      0.96
        15;          7.5;    143.0;     44.8;     280.06;    0.050553;     -772.105217;     -772.054664;     -772.073208;      1.13
        16;          8.0;    105.7;     45.8;     298.62;    0.053903;     -772.106690;     -772.052787;     -772.073245;      1.03
        17;          8.5;    134.7;     43.7;     334.51;    0.060383;     -772.111727;     -772.051345;     -772.073374;      0.67
