# Step; Sim. Time; t_SCF; t_Grad; Temp; E_Kin; E_Pot; E_Tot; Cons.Qty; Drift
         0;          0.0;    282.9;         ;     500.00;    0.142506;    -1207.440923;    -1207.298417;                ;          
         1;          0.5;    263.1;     94.0;     489.85;    0.139613;    -1207.437770;    -1207.298156;    -1207.298309;      0.00
         2;          1.0;    199.2;     94.1;     463.39;    0.132073;    -1207.429564;    -1207.297491;    -1207.298192;      0.20
         3;          1.5;    263.4;     93.8;     426.83;    0.121653;    -1207.417884;    -1207.296231;    -1207.298030;      0.49
         4;          2.0;    261.3;     93.6;     388.57;    0.110748;    -1207.405126;    -1207.294378;    -1207.297848;      0.81
         5;          2.5;    303.8;     94.6;     357.34;    0.101846;    -1207.393952;    -1207.292106;    -1207.297717;      1.04
         6;          3.0;    260.5;     95.1;     338.92;    0.096598;    -1207.386262;    -1207.289664;    -1207.297691;      1.08
         7;          3.5;    262.0;     94.4;     333.63;    0.095089;    -1207.382339;    -1207.287250;    -1207.297772;      0.94
         8;          4.0;    261.8;     94.5;     336.23;    0.095830;    -1207.380758;    -1207.284929;    -1207.297908;      0.70
         9;          4.5;    263.1;     94.2;     338.74;    0.096546;    -1207.379172;    -1207.282626;    -1207.298024;      0.50
        10;          5.0;    262.2;     94.9;     334.14;    0.095235;    -1207.375421;    -1207.280186;    -1207.298072;      0.42
        11;          5.5;    264.8;     94.6;     319.09;    0.090944;    -1207.368376;    -1207.277432;    -1207.298032;      0.49
        12;          6.0;    241.4;     93.9;     294.91;    0.084053;    -1207.358287;    -1207.274234;    -1207.297910;      0.70
        13;          6.5;    240.9;     94.2;     267.23;    0.076165;    -1207.346729;    -1207.270564;    -1207.297731;      1.01
        14;          7.0;    259.1;     93.3;     244.48;    0.069679;    -1207.336219;    -1207.266540;    -1207.297541;      1.35
        15;          7.5;    259.1;     94.1;     235.43;    0.067102;    -1207.329536;    -1207.262434;    -1207.297403;      1.59
        16;          8.0;    259.5;     93.9;     246.23;    0.070179;    -1207.328776;    -1207.258597;    -1207.297374;      1.64
        17;          8.5;    260.8;     94.0;     277.47;    0.079083;    -1207.334434;    -1207.255350;    -1207.297465;      1.48
        18;          9.0;    283.1;     94.5;     323.40;    0.092172;    -1207.345044;    -1207.252872;    -1207.297635;      1.18
        19;          9.5;    315.3;     95.2;     374.12;    0.106630;    -1207.357794;    -1207.251163;    -1207.297815;      0.87
        20;         10.0;    303.3;     94.5;     419.55;    0.119576;    -1207.369667;    -1207.250091;    -1207.297950;      0.63
        21;         10.5;    243.1;     93.9;     452.22;    0.128888;    -1207.378335;    -1207.249447;    -1207.298022;      0.50
        22;         11.0;    243.2;     94.2;     468.38;    0.133495;    -1207.382483;    -1207.248989;    -1207.298038;      0.47
