epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_H_f_mae,training_B_f_mae,training_C_f_mae,training_psavg_f_mae,training_H_f_rmse,training_B_f_rmse,training_C_f_rmse,training_psavg_f_rmse,training_e_mae,training_e/N_mae,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_H_f_mae,validation_B_f_mae,validation_C_f_mae,validation_psavg_f_mae,validation_H_f_rmse,validation_B_f_rmse,validation_C_f_rmse,validation_psavg_f_rmse,validation_e_mae,validation_e/N_mae
        16,  157.395,    0.005,        0.0064092,       2.6513e-05,        0.0064357,      0.00221,      0.00301,      0.00179,            0,      0.00259,      0.00146,       0.0025,            0,       0.0034,      0.00197,      0.00611,     0.000161,        0.0048512,       1.5555e-06,        0.0048528,      0.00181,      0.00262,      0.00154,            0,      0.00206,       0.0012,      0.00232,            0,      0.00285,      0.00173,      0.00145,     3.82e-05
        17,  166.980,    0.005,        0.0059358,       1.5479e-05,        0.0059513,      0.00214,      0.00289,      0.00176,            0,      0.00247,      0.00141,      0.00245,            0,      0.00324,       0.0019,      0.00439,     0.000115,        0.0046082,       1.3902e-06,        0.0046096,      0.00176,      0.00255,       0.0015,            0,        0.002,      0.00116,      0.00228,            0,      0.00277,      0.00168,      0.00141,      3.7e-05
        18,  176.723,    0.005,        0.0053566,       2.0246e-05,        0.0053769,        0.002,      0.00275,      0.00163,            0,      0.00233,      0.00132,      0.00231,            0,      0.00309,       0.0018,      0.00483,     0.000127,        0.0043516,       1.2473e-06,        0.0043528,       0.0017,      0.00248,      0.00146,            0,      0.00192,      0.00113,      0.00223,            0,      0.00269,      0.00164,      0.00132,     3.47e-05
        19,  186.420,    0.005,        0.0052352,       1.7916e-05,        0.0052531,      0.00197,      0.00272,      0.00162,            0,      0.00228,       0.0013,      0.00228,            0,      0.00306,      0.00178,      0.00451,     0.000119,        0.0041284,       1.1232e-06,        0.0041296,      0.00165,      0.00241,      0.00142,            0,      0.00186,      0.00109,      0.00218,            0,      0.00261,       0.0016,      0.00126,     3.31e-05
        20,  196.125,    0.005,        0.0047415,        1.366e-05,        0.0047552,      0.00189,      0.00259,      0.00159,            0,      0.00217,      0.00125,      0.00222,            0,      0.00288,       0.0017,      0.00417,      0.00011,        0.0039079,        9.973e-07,        0.0039089,       0.0016,      0.00235,      0.00139,            0,      0.00179,      0.00106,      0.00213,            0,      0.00253,      0.00155,      0.00117,     3.07e-05
        21,  205.927,    0.005,        0.0053662,       1.5357e-05,        0.0053816,        0.002,      0.00275,      0.00167,            0,       0.0023,      0.00133,      0.00234,            0,      0.00308,      0.00181,      0.00409,     0.000108,        0.0037344,       8.3394e-07,        0.0037352,      0.00156,       0.0023,      0.00135,            0,      0.00174,      0.00103,      0.00209,            0,      0.00247,      0.00152,      0.00109,     2.88e-05
        22,  215.760,    0.005,        0.0050351,       1.2625e-05,        0.0050477,      0.00195,      0.00267,      0.00159,            0,      0.00227,      0.00129,      0.00223,            0,        0.003,      0.00174,        0.004,     0.000105,        0.0035909,       7.0394e-07,        0.0035916,      0.00152,      0.00225,      0.00132,            0,       0.0017,      0.00101,      0.00205,            0,      0.00242,      0.00149,     0.000991,     2.61e-05
        23,  225.577,    0.005,        0.0043952,       1.0588e-05,        0.0044058,       0.0018,      0.00249,      0.00147,            0,       0.0021,      0.00119,      0.00208,            0,      0.00281,      0.00163,      0.00361,     9.51e-05,        0.0034166,       6.2945e-07,        0.0034172,      0.00148,       0.0022,      0.00129,            0,      0.00165,      0.00098,      0.00201,            0,      0.00235,      0.00145,     0.000935,     2.46e-05
        24,  235.382,    0.005,        0.0043404,       9.9579e-06,        0.0043503,      0.00181,      0.00247,       0.0015,            0,      0.00208,      0.00119,       0.0021,            0,      0.00277,      0.00162,       0.0037,     9.73e-05,        0.0032699,       5.7079e-07,        0.0032705,      0.00144,      0.00215,      0.00126,            0,       0.0016,     0.000954,      0.00197,            0,       0.0023,      0.00142,     0.000915,     2.41e-05
        25,  245.180,    0.005,         0.004457,       9.9365e-06,        0.0044669,      0.00181,      0.00251,       0.0015,            0,      0.00208,       0.0012,      0.00215,            0,      0.00279,      0.00165,      0.00358,     9.42e-05,         0.003139,       4.8015e-07,        0.0031395,      0.00141,      0.00211,      0.00123,            0,      0.00156,     0.000931,      0.00194,            0,      0.00225,      0.00139,     0.000823,     2.17e-05
