epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_H_f_mae,training_B_f_mae,training_C_f_mae,training_psavg_f_mae,training_H_f_rmse,training_B_f_rmse,training_C_f_rmse,training_psavg_f_rmse,training_e_mae,training_e/N_mae,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_H_f_mae,validation_B_f_mae,validation_C_f_mae,validation_psavg_f_mae,validation_H_f_rmse,validation_B_f_rmse,validation_C_f_rmse,validation_psavg_f_rmse,validation_e_mae,validation_e/N_mae
        16, 2659.790,    0.005,        0.0060398,       3.3477e-05,        0.0060733,      0.00212,       0.0029,      0.00173,            0,      0.00247,       0.0014,      0.00246,            0,      0.00325,       0.0019,      0.00651,     0.000171,        0.0044729,       1.7948e-06,        0.0044747,      0.00178,       0.0025,       0.0015,            0,      0.00203,      0.00118,      0.00221,            0,      0.00274,      0.00165,      0.00149,     3.93e-05
        17, 2822.856,    0.005,        0.0060528,        3.064e-05,        0.0060835,      0.00208,      0.00291,      0.00164,            0,      0.00248,      0.00137,      0.00238,            0,      0.00331,       0.0019,      0.00579,     0.000152,        0.0041304,       1.8062e-06,        0.0041322,       0.0017,       0.0024,      0.00145,            0,      0.00193,      0.00112,      0.00214,            0,      0.00262,      0.00158,      0.00148,      3.9e-05
        18, 2985.743,    0.005,        0.0059284,       3.5364e-05,        0.0059637,      0.00208,      0.00288,      0.00171,            0,      0.00241,      0.00137,      0.00245,            0,      0.00321,      0.00189,      0.00683,      0.00018,        0.0038316,        1.772e-06,        0.0038334,      0.00163,      0.00231,      0.00139,            0,      0.00184,      0.00108,      0.00207,            0,      0.00251,      0.00153,      0.00149,     3.92e-05
        19, 3149.088,    0.005,        0.0056678,       4.2971e-05,        0.0057108,      0.00207,      0.00281,      0.00172,            0,      0.00238,      0.00137,      0.00242,            0,      0.00312,      0.00185,      0.00745,     0.000196,        0.0036386,       1.6013e-06,        0.0036402,      0.00158,      0.00225,      0.00136,            0,      0.00179,      0.00105,      0.00202,            0,      0.00244,      0.00149,      0.00139,     3.65e-05
        20, 3312.094,    0.005,        0.0065925,        6.562e-05,        0.0066581,      0.00221,      0.00304,       0.0017,            0,      0.00267,      0.00146,      0.00237,            0,      0.00353,      0.00197,      0.00938,     0.000247,        0.0035068,       1.5839e-06,        0.0035084,      0.00154,      0.00221,      0.00133,            0,      0.00174,      0.00102,      0.00199,            0,       0.0024,      0.00146,      0.00139,     3.66e-05
        21, 3475.309,    0.005,        0.0047448,       1.9818e-05,        0.0047646,      0.00186,      0.00258,      0.00154,            0,      0.00214,      0.00123,       0.0022,            0,      0.00287,      0.00169,      0.00503,     0.000132,        0.0032724,       1.6473e-06,        0.0032741,      0.00149,      0.00214,      0.00129,            0,      0.00167,     0.000985,      0.00193,            0,      0.00231,      0.00141,      0.00142,     3.73e-05
        22, 3638.247,    0.005,        0.0051324,       2.2157e-05,        0.0051546,      0.00194,      0.00268,      0.00161,            0,      0.00224,      0.00128,       0.0023,            0,      0.00297,      0.00176,      0.00522,     0.000137,        0.0031036,       1.5327e-06,        0.0031052,      0.00145,      0.00208,      0.00125,            0,      0.00162,     0.000957,      0.00189,            0,      0.00224,      0.00138,      0.00136,     3.59e-05
        23, 3801.138,    0.005,        0.0049638,       2.9632e-05,        0.0049935,       0.0019,      0.00264,      0.00152,            0,      0.00223,      0.00125,       0.0022,            0,      0.00297,      0.00172,      0.00624,     0.000164,         0.002967,       1.4706e-06,        0.0029685,      0.00141,      0.00204,      0.00122,            0,      0.00157,     0.000932,      0.00185,            0,      0.00219,      0.00135,      0.00134,     3.54e-05
        24, 3964.281,    0.005,        0.0052213,       3.5013e-05,        0.0052564,      0.00197,       0.0027,       0.0016,            0,       0.0023,       0.0013,      0.00227,            0,      0.00304,      0.00177,      0.00672,     0.000177,        0.0028648,       1.3714e-06,        0.0028662,      0.00138,        0.002,       0.0012,            0,      0.00154,     0.000913,      0.00182,            0,      0.00215,      0.00132,      0.00129,      3.4e-05
        25, 4127.188,    0.005,        0.0046932,       2.6422e-05,        0.0047196,      0.00183,      0.00256,      0.00146,            0,      0.00215,       0.0012,      0.00211,            0,      0.00291,      0.00167,      0.00538,     0.000141,        0.0027422,        1.377e-06,        0.0027436,      0.00134,      0.00196,      0.00117,            0,       0.0015,      0.00089,      0.00178,            0,       0.0021,      0.00129,      0.00131,     3.46e-05
