# Step; Sim. Time; t_SCF; t_Grad; Temp; E_Kin; E_Pot; E_Tot; Cons.Qty; Drift
         0;          0.0;    325.5;         ;     500.00;    0.142506;    -1207.449273;    -1207.306767;                ;          
         1;          0.5;    254.2;     92.4;     489.80;    0.139599;    -1207.446087;    -1207.306487;    -1207.306640;      0.00
         2;          1.0;    254.1;     91.5;     463.21;    0.132021;    -1207.437855;    -1207.305834;    -1207.306538;      0.18
         3;          1.5;    253.7;     91.0;     426.50;    0.121558;    -1207.426129;    -1207.304571;    -1207.306378;      0.46
         4;          2.0;    273.0;     91.0;     388.05;    0.110600;    -1207.413314;    -1207.302714;    -1207.306200;      0.77
         5;          2.5;    274.0;     91.5;     356.55;    0.101622;    -1207.402057;    -1207.300434;    -1207.306073;      1.00
         6;          3.0;    253.2;     91.5;     337.78;    0.096272;    -1207.394250;    -1207.297978;    -1207.306050;      1.04
         7;          3.5;    252.0;     91.6;     332.03;    0.094631;    -1207.390173;    -1207.295542;    -1207.306133;      0.89
         8;          4.0;    254.0;     90.9;     334.07;    0.095215;    -1207.388404;    -1207.293189;    -1207.306270;      0.65
         9;          4.5;    254.9;     91.6;     335.97;    0.095757;    -1207.386604;    -1207.290847;    -1207.306388;      0.44
        10;          5.0;    254.6;     91.5;     330.76;    0.094271;    -1207.382629;    -1207.288358;    -1207.306437;      0.36
        11;          5.5;    255.4;     91.3;     315.15;    0.089821;    -1207.375367;    -1207.285546;    -1207.306399;      0.42
        12;          6.0;    235.3;     91.3;     290.50;    0.082796;    -1207.365080;    -1207.282283;    -1207.306279;      0.63
        13;          6.5;    233.9;     92.6;     262.45;    0.074800;    -1207.353344;    -1207.278544;    -1207.306103;      0.94
        14;          7.0;    252.0;     91.2;     239.36;    0.068222;    -1207.342669;    -1207.274447;    -1207.305915;      1.27
        15;          7.5;    252.1;     92.3;     229.99;    0.065551;    -1207.335813;    -1207.270262;    -1207.305781;      1.51
        16;          8.0;    251.0;     92.7;     240.41;    0.068520;    -1207.334860;    -1207.266340;    -1207.305753;      1.56
        17;          8.5;    252.1;     92.0;     271.22;    0.077302;    -1207.340303;    -1207.263001;    -1207.305846;      1.39
        18;          9.0;    274.5;     91.8;     316.70;    0.090264;    -1207.350686;    -1207.260422;    -1207.306017;      1.09
        19;          9.5;    275.1;     91.5;     367.03;    0.104608;    -1207.363215;    -1207.258607;    -1207.306196;      0.78
        20;         10.0;    255.6;     93.1;     412.14;    0.117466;    -1207.374887;    -1207.257420;    -1207.306327;      0.55
        21;         10.5;    236.1;     92.6;     444.61;    0.126720;    -1207.383380;    -1207.256660;    -1207.306397;      0.43
        22;         11.0;    239.5;     91.7;     460.64;    0.131288;    -1207.387374;    -1207.256087;    -1207.306415;      0.40
