epoch, batch, loss, loss_f, loss_e, f_mae, f_rmse, H_f_mae, C_f_mae, psavg_f_mae, H_f_rmse, C_f_rmse, psavg_f_rmse, e_mae, e/N_mae
    1,    32,           0.4488,          0.44867,       0.00012985,         0.017728,         0.025331,        0.0079512,         0.026527,         0.017239,        0.0096639,         0.033691,         0.021677,         0.013892,       0.00036557
    1,    33,          0.41869,          0.41867,       2.4145e-05,         0.017226,         0.024469,        0.0079607,         0.025565,         0.016763,        0.0099026,         0.032393,         0.021148,        0.0043579,       0.00011468
    1,    34,          0.42002,          0.41981,       0.00021448,         0.016739,         0.024502,         0.007222,         0.025305,         0.016263,        0.0092511,         0.032614,         0.020932,         0.017896,       0.00047093
    1,    35,          0.36295,          0.36284,       0.00010601,         0.015398,         0.022779,        0.0068525,         0.023089,         0.014971,        0.0089023,         0.030242,         0.019572,         0.014673,       0.00038613
    1,    36,          0.44054,          0.44042,       0.00012635,         0.017728,         0.025097,        0.0084818,          0.02605,         0.017266,          0.01094,         0.032999,          0.02197,          0.01217,       0.00032027
    1,    37,          0.36185,          0.36182,       2.7602e-05,         0.015916,         0.022747,        0.0074515,         0.023534,         0.015493,        0.0094744,         0.030039,         0.019757,        0.0061646,       0.00016223
    1,    38,          0.36795,          0.36733,       0.00061602,         0.016294,          0.02292,        0.0085378,         0.023275,         0.015906,         0.010623,         0.029942,         0.020283,         0.035083,       0.00092324
    1,    39,          0.29942,          0.29781,        0.0016072,         0.014747,         0.020637,        0.0081477,         0.020687,         0.014417,         0.010189,         0.026754,         0.018472,         0.057544,        0.0015143
    1,    40,           0.3774,          0.37622,        0.0011741,          0.01613,         0.023195,        0.0080115,         0.023437,         0.015724,         0.010244,          0.03046,         0.020352,         0.047949,        0.0012618
    1,    41,          0.26914,          0.26907,       7.2636e-05,         0.013523,         0.019616,         0.006993,         0.019399,         0.013196,        0.0087139,         0.025744,         0.017229,         0.011987,       0.00031546
    1,    42,          0.38145,          0.37946,         0.001992,         0.015827,         0.023295,        0.0084921,         0.022428,          0.01546,         0.010228,         0.030609,         0.020418,         0.061157,        0.0016094
    1,    43,          0.27556,          0.27229,          0.00327,         0.013427,         0.019733,        0.0067539,         0.019433,         0.013093,          0.00835,         0.026021,         0.017186,         0.079749,        0.0020986
    1,    44,          0.29744,           0.2953,        0.0021366,         0.014051,          0.02055,        0.0068296,          0.02055,          0.01369,        0.0085652,         0.027136,         0.017851,         0.065833,        0.0017324
    1,    45,          0.31869,          0.31808,       0.00061749,         0.014545,         0.021328,        0.0067158,         0.021591,         0.014153,        0.0083313,         0.028316,         0.018324,         0.031335,       0.00082462
    1,    46,          0.31529,          0.31504,       0.00025634,         0.013849,         0.021226,        0.0067341,         0.020253,         0.013494,        0.0083857,         0.028155,          0.01827,         0.020569,       0.00054129
    1,    47,          0.27453,          0.27304,        0.0014863,         0.014049,          0.01976,        0.0077152,          0.01975,         0.013733,         0.009342,         0.025756,         0.017549,         0.052185,        0.0013733
    1,    48,          0.32423,          0.32243,        0.0018013,         0.014146,         0.021473,        0.0069304,          0.02064,         0.013785,        0.0086474,         0.028439,         0.018543,         0.060608,        0.0015949
    1,    49,           0.3517,          0.35109,       0.00060651,         0.014559,         0.022407,        0.0065889,         0.021733,         0.014161,        0.0082705,         0.029873,         0.019072,         0.033081,       0.00087055
    1,    50,          0.21915,          0.21905,       0.00010592,         0.012618,         0.017699,        0.0071401,         0.017548,         0.012344,        0.0090093,          0.02285,          0.01593,         0.012646,        0.0003328
    1,    51,          0.22896,          0.22884,       0.00011782,         0.012677,          0.01809,        0.0069005,         0.017875,         0.012388,        0.0087025,          0.02353,         0.016116,         0.014087,       0.00037071
    1,    52,           0.2573,          0.25715,       0.00014313,         0.013702,         0.019177,        0.0072731,         0.019488,          0.01338,        0.0092006,         0.024951,         0.017076,            0.013,       0.00034212
    1,    53,          0.23533,          0.23517,       0.00016044,         0.013176,         0.018339,         0.007373,         0.018399,         0.012886,        0.0093022,         0.023688,         0.016495,         0.016089,       0.00042339
    1,    54,          0.20453,          0.20428,       0.00025589,         0.012482,         0.017092,        0.0075469,         0.016923,         0.012235,        0.0095733,         0.021739,         0.015656,         0.021802,       0.00057373
    1,    55,          0.20065,          0.20022,       0.00042256,          0.01225,         0.016922,        0.0067774,         0.017175,         0.011976,        0.0088583,         0.021758,         0.015308,         0.028821,       0.00075844
    1,    56,          0.29632,          0.29612,        0.0002023,         0.014362,         0.020579,        0.0071718,         0.020833,         0.014003,        0.0088876,         0.027083,         0.017986,         0.018518,       0.00048732
    1,    57,          0.24904,          0.24892,       0.00012097,         0.013366,         0.018867,        0.0067477,         0.019323,         0.013035,        0.0086715,         0.024672,         0.016672,         0.012476,        0.0003283
