# Step; Sim. Time; t_SCF; t_Grad; Temp; E_Kin; E_Pot; E_Tot; Cons.Qty; Drift
         0;          0.0;    333.3;         ;     500.00;    0.142506;    -1207.444324;    -1207.301818;                ;          
         1;          0.5;    303.5;     97.4;     489.11;    0.139403;    -1207.440727;    -1207.301324;    -1207.301487;      0.00
         2;          1.0;    285.8;     97.7;     461.34;    0.131488;    -1207.432135;    -1207.300647;    -1207.301390;      0.17
         3;          1.5;    286.1;     97.0;     423.84;    0.120799;    -1207.420149;    -1207.299350;    -1207.301236;      0.44
         4;          2.0;    285.6;     98.1;     385.01;    0.109733;    -1207.407187;    -1207.297454;    -1207.301065;      0.74
         5;          2.5;    283.8;     97.9;     353.47;    0.100743;    -1207.395875;    -1207.295132;    -1207.300941;      0.96
         6;          3.0;    282.6;     97.9;     334.89;    0.095447;    -1207.388085;    -1207.292638;    -1207.300923;      0.99
         7;          3.5;    259.7;     99.2;     329.52;    0.093917;    -1207.384086;    -1207.290169;    -1207.301012;      0.83
         8;          4.0;    242.6;     97.2;     332.15;    0.094666;    -1207.382460;    -1207.287794;    -1207.301154;      0.58
         9;          4.5;    241.3;     97.2;     334.80;    0.095422;    -1207.380864;    -1207.285442;    -1207.301280;      0.36
        10;          5.0;    261.7;     99.0;     330.48;    0.094192;    -1207.377146;    -1207.282954;    -1207.301335;      0.27
        11;          5.5;    247.6;     98.1;     315.91;    0.090037;    -1207.370193;    -1207.280156;    -1207.301299;      0.33
        12;          6.0;    261.5;     98.7;     292.55;    0.083379;    -1207.360301;    -1207.276921;    -1207.301177;      0.55
        13;          6.5;    220.7;     98.2;     266.18;    0.075865;    -1207.349104;    -1207.273239;    -1207.301002;      0.85
        14;          7.0;    259.4;     98.4;     245.38;    0.069937;    -1207.339177;    -1207.269240;    -1207.300822;      1.17
        15;          7.5;    258.9;     98.2;     238.89;    0.068086;    -1207.333282;    -1207.265196;    -1207.300695;      1.39
        16;          8.0;    260.9;     97.3;     252.40;    0.071936;    -1207.333405;    -1207.261469;    -1207.300682;      1.41
        17;          8.5;    264.0;     96.9;     285.87;    0.081475;    -1207.339838;    -1207.258363;    -1207.300788;      1.23
        18;          9.0;    286.6;     97.5;     332.95;    0.094895;    -1207.350929;    -1207.256034;    -1207.300966;      0.92
        19;          9.5;    244.5;     98.1;     383.56;    0.109320;    -1207.363786;    -1207.254466;    -1207.301143;      0.60
        20;         10.0;    264.3;    100.0;     427.79;    0.121927;    -1207.375435;    -1207.253508;    -1207.301269;      0.38
        21;         10.5;    265.7;     99.3;     458.63;    0.130716;    -1207.383667;    -1207.252951;    -1207.301333;      0.27
        22;         11.0;    244.7;     98.0;     472.77;    0.134745;    -1207.387296;    -1207.252552;    -1207.301342;      0.26
        23;         11.5;    265.8;     98.5;     470.30;    0.134040;    -1207.386102;    -1207.252062;    -1207.301298;      0.33
        24;         12.0;    264.4;     98.3;     454.39;    0.129506;    -1207.380779;    -1207.251273;    -1207.301193;      0.52
        25;         12.5;    265.4;     98.7;     431.14;    0.122881;    -1207.372964;    -1207.250083;    -1207.301035;      0.79
        26;         13.0;    265.2;    100.2;     408.86;    0.116531;    -1207.365077;    -1207.248546;    -1207.300866;      1.09
        27;         13.5;    266.1;     98.7;     395.65;    0.112765;    -1207.359643;    -1207.246878;    -1207.300764;      1.27
        28;         14.0;    265.6;    100.5;     395.76;    0.112797;    -1207.358138;    -1207.245340;    -1207.300789;      1.23
        29;         14.5;    287.7;     99.5;     406.94;    0.115982;    -1207.360074;    -1207.244091;    -1207.300936;      0.97
        30;         15.0;    292.5;    101.6;     421.14;    0.120031;    -1207.363130;    -1207.243099;    -1207.301126;      0.63
        31;         15.5;    251.1;    100.5;     428.59;    0.122153;    -1207.364319;    -1207.242167;    -1207.301266;      0.39
        32;         16.0;    291.7;     99.5;     422.24;    0.120344;    -1207.361381;    -1207.241037;    -1207.301302;      0.32
        33;         16.5;    322.0;    100.2;     400.59;    0.114173;    -1207.353641;    -1207.239468;    -1207.301225;      0.46
        34;         17.0;    291.2;    100.0;     367.97;    0.104877;    -1207.342196;    -1207.237319;    -1207.301056;      0.76
        35;         17.5;    290.3;    100.4;     333.05;    0.094922;    -1207.329529;    -1207.234607;    -1207.300849;      1.12
        36;         18.0;    271.3;    101.2;     306.02;    0.087220;    -1207.318736;    -1207.231515;    -1207.300667;      1.44
        37;         18.5;    290.7;    101.8;     295.30;    0.084163;    -1207.312518;    -1207.228355;    -1207.300577;      1.60
        38;         19.0;    269.3;    101.3;     304.44;    0.086770;    -1207.312224;    -1207.225454;    -1207.300609;      1.54
        39;         19.5;    275.7;    101.2;     330.71;    0.094256;    -1207.317300;    -1207.223044;    -1207.300739;      1.31
        40;         20.0;    270.2;    100.8;     366.12;    0.104349;    -1207.325548;    -1207.221199;    -1207.300902;      1.03
        41;         20.5;    292.8;    102.2;     400.97;    0.114282;    -1207.334129;    -1207.219846;    -1207.301035;      0.79
        42;         21.0;    293.4;    101.1;     427.45;    0.121828;    -1207.340655;    -1207.218827;    -1207.301104;      0.67
        43;         21.5;    251.7;    100.4;     441.45;    0.125820;    -1207.343773;    -1207.217953;    -1207.301108;      0.67
        44;         22.0;    207.1;    101.9;     442.63;    0.126156;    -1207.343177;    -1207.217021;    -1207.301037;      0.79
        45;         22.5;    294.3;    101.0;     433.51;    0.123555;    -1207.339476;    -1207.215921;    -1207.300934;      0.97
        46;         23.0;    291.7;    100.7;     419.10;    0.119450;    -1207.334019;    -1207.214568;    -1207.300795;      1.21
        47;         23.5;    292.5;    100.6;     406.38;    0.115823;    -1207.328833;    -1207.213010;    -1207.300642;      1.48
        48;         24.0;    293.3;    100.7;     402.38;    0.114683;    -1207.326119;    -1207.211436;    -1207.300531;      1.68
        49;         24.5;    293.6;    101.1;     411.51;    0.117285;    -1207.327383;    -1207.210098;    -1207.300521;      1.69
        50;         25.0;    252.5;    101.4;     433.00;    0.123411;    -1207.332604;    -1207.209193;    -1207.300621;      1.52
        51;         25.5;    296.6;    101.9;     460.65;    0.131290;    -1207.340060;    -1207.208769;    -1207.300788;      1.23
        52;         26.0;    297.3;    103.6;     485.28;    0.138310;    -1207.347016;    -1207.208706;    -1207.300945;      0.95
        53;         26.5;    315.7;     99.9;     498.68;    0.142131;    -1207.350901;    -1207.208771;    -1207.301030;      0.80
        54;         27.0;    289.0;     99.9;     496.84;    0.141606;    -1207.350312;    -1207.208706;    -1207.301012;      0.83
        55;         27.5;    249.2;     99.2;     481.20;    0.137148;    -1207.345460;    -1207.208312;    -1207.300900;      1.03
        56;         28.0;    248.0;     99.6;     457.93;    0.130515;    -1207.338029;    -1207.207514;    -1207.300733;      1.32
        57;         28.5;    247.9;     99.3;     435.67;    0.124172;    -1207.330553;    -1207.206381;    -1207.300566;      1.62
        58;         29.0;    288.5;     99.7;     422.69;    0.120473;    -1207.325582;    -1207.205109;    -1207.300453;      1.81
        59;         29.5;    289.3;     98.7;     424.13;    0.120881;    -1207.324835;    -1207.203953;    -1207.300435;      1.85
