epoch, batch, loss, loss_f, loss_e, f_mae, f_rmse, H_f_mae, B_f_mae, C_f_mae, psavg_f_mae, H_f_rmse, B_f_rmse, C_f_rmse, psavg_f_rmse, e_mae, e/N_mae
    1,     1,          0.89465,          0.89458,       6.5139e-05,         0.025537,         0.035542,         0.016242,                0,         0.033902,         0.016715,         0.021052,                0,         0.044736,         0.021929,        0.0086792,        0.0002284
    1,     2,           1.0504,           1.0502,       0.00024601,         0.028744,          0.03851,         0.018933,                0,         0.037575,         0.018836,         0.025832,                0,         0.047087,         0.024306,         0.018457,       0.00048571
    1,     3,           1.0842,           1.0838,       0.00036235,         0.029636,         0.039121,         0.020303,                0,         0.038035,         0.019446,         0.026743,                0,         0.047584,         0.024776,         0.025574,       0.00067299
    1,     4,           1.0218,            1.021,       0.00076018,         0.028395,         0.037972,         0.018188,                0,         0.037581,         0.018589,         0.023096,                0,         0.047533,         0.023543,          0.03894,        0.0010247
    1,     5,          0.87225,          0.87123,        0.0010167,         0.026006,         0.035075,         0.017538,                0,         0.033628,         0.017055,         0.023226,                0,         0.043035,         0.022087,         0.044482,        0.0011706
    1,     6,          0.98968,          0.98808,        0.0016032,         0.027158,         0.037353,          0.01712,                0,         0.036193,         0.017771,         0.023043,                0,         0.046617,          0.02322,         0.056958,        0.0014989
    1,     7,          0.88177,           0.8792,         0.002572,         0.026627,         0.035235,          0.01765,                0,         0.034708,         0.017452,         0.024143,                0,         0.042829,         0.022324,         0.071472,        0.0018808
    1,     8,           1.1117,           1.1074,        0.0042675,         0.028956,         0.039545,         0.017869,                0,         0.038934,         0.018935,         0.023837,                0,         0.049597,         0.024478,         0.092395,        0.0024314
    1,     9,          0.88699,           0.8817,        0.0052911,         0.025836,         0.035285,         0.018118,                0,         0.032783,         0.016967,         0.024782,                0,         0.042578,         0.022453,          0.10214,        0.0026878
    1,    10,          0.92518,          0.91837,        0.0068123,         0.025983,         0.036012,            0.016,                0,         0.034968,         0.016989,         0.021783,                0,         0.045133,         0.022305,          0.11743,        0.0030903
    1,    11,          0.83961,          0.82987,        0.0097335,         0.025122,         0.034233,         0.014994,                0,         0.034237,          0.01641,         0.020137,                0,         0.043146,         0.021094,          0.14072,        0.0037032
