epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_H_f_mae,training_B_f_mae,training_C_f_mae,training_psavg_f_mae,training_H_f_rmse,training_B_f_rmse,training_C_f_rmse,training_psavg_f_rmse,training_e_mae,training_e/N_mae,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_H_f_mae,validation_B_f_mae,validation_C_f_mae,validation_psavg_f_mae,validation_H_f_rmse,validation_B_f_rmse,validation_C_f_rmse,validation_psavg_f_rmse,validation_e_mae,validation_e/N_mae
         1,   14.916,    0.005,          0.33161,        0.0029483,          0.33456,       0.0142,       0.0217,      0.00789,            0,       0.0198,      0.00924,       0.0113,            0,       0.0279,       0.0131,       0.0566,      0.00149,          0.06857,       1.2607e-05,         0.068583,      0.00704,      0.00984,      0.00402,            0,      0.00976,      0.00459,      0.00519,            0,       0.0126,      0.00594,      0.00419,      0.00011
         2,   23.614,    0.005,         0.043806,       0.00016208,         0.043968,      0.00572,      0.00787,      0.00353,            0,      0.00769,      0.00374,      0.00459,            0,      0.00993,      0.00484,       0.0146,     0.000384,          0.03116,       9.7821e-06,          0.03117,      0.00488,      0.00663,      0.00314,            0,      0.00644,       0.0032,      0.00414,            0,      0.00826,      0.00413,      0.00342,     9.01e-05
         3,   32.367,    0.005,         0.026014,       0.00015452,         0.026168,      0.00454,      0.00606,      0.00322,            0,      0.00572,      0.00298,       0.0042,            0,      0.00734,      0.00385,       0.0137,     0.000359,         0.020605,       5.0527e-06,         0.020611,      0.00399,      0.00539,      0.00277,            0,      0.00508,      0.00262,       0.0037,            0,      0.00655,      0.00342,      0.00271,     7.13e-05
         4,   41.055,    0.005,          0.01991,        0.0001117,         0.020022,      0.00397,       0.0053,      0.00278,            0,      0.00505,      0.00261,      0.00365,            0,      0.00644,      0.00336,       0.0118,      0.00031,         0.015911,       4.3155e-06,         0.015916,      0.00349,      0.00474,      0.00247,            0,      0.00441,      0.00229,      0.00337,            0,       0.0057,      0.00302,      0.00256,     6.73e-05
         5,   49.721,    0.005,         0.016055,       7.0794e-05,         0.016126,      0.00358,      0.00476,      0.00262,            0,      0.00443,      0.00235,      0.00349,            0,      0.00567,      0.00305,      0.00992,     0.000261,         0.013378,       3.1941e-06,         0.013381,      0.00319,      0.00435,      0.00228,            0,      0.00402,       0.0021,      0.00317,            0,      0.00518,      0.00278,      0.00221,     5.83e-05
         6,   58.371,    0.005,         0.014511,       0.00011572,         0.014627,      0.00341,      0.00453,      0.00251,            0,      0.00421,      0.00224,      0.00338,            0,      0.00536,      0.00291,       0.0112,     0.000295,         0.011788,       3.2263e-06,         0.011791,      0.00299,      0.00408,      0.00215,            0,      0.00374,      0.00196,      0.00303,            0,      0.00483,      0.00262,      0.00223,     5.88e-05
         7,   67.039,    0.005,         0.014659,       0.00013521,         0.014794,       0.0034,      0.00455,      0.00245,            0,      0.00425,      0.00223,       0.0033,            0,      0.00543,      0.00291,       0.0113,     0.000297,         0.010711,       3.2409e-06,         0.010714,      0.00284,      0.00389,      0.00206,            0,      0.00354,      0.00187,      0.00294,            0,      0.00458,      0.00251,      0.00225,     5.91e-05
         8,   75.695,    0.005,          0.01063,       6.8259e-05,         0.010698,      0.00288,      0.00387,      0.00216,            0,      0.00353,       0.0019,      0.00297,            0,      0.00454,       0.0025,      0.00928,     0.000244,         0.009605,       3.2182e-06,        0.0096083,      0.00268,      0.00368,      0.00197,            0,      0.00331,      0.00176,      0.00284,            0,       0.0043,      0.00238,      0.00219,     5.76e-05
         9,   84.343,    0.005,         0.010925,       5.6257e-05,         0.010981,      0.00292,      0.00393,      0.00214,            0,      0.00362,      0.00192,      0.00292,            0,      0.00465,      0.00252,       0.0085,     0.000224,        0.0086429,       3.1367e-06,         0.008646,      0.00253,      0.00349,      0.00188,            0,      0.00311,      0.00166,      0.00273,            0,      0.00406,      0.00226,      0.00219,     5.77e-05
        10,   92.986,    0.005,        0.0096036,        3.666e-05,        0.0096402,      0.00274,      0.00368,      0.00207,            0,      0.00335,      0.00181,      0.00284,            0,      0.00431,      0.00238,       0.0068,     0.000179,        0.0078421,       2.8016e-06,        0.0078449,      0.00239,      0.00333,       0.0018,            0,      0.00293,      0.00158,      0.00265,            0,      0.00384,      0.00216,      0.00206,     5.43e-05
