# Step; Sim. Time; t_SCF; t_Grad; Temp; E_Kin; E_Pot; E_Tot; Cons.Qty; Drift
         0;          0.0;    177.1;         ;     500.00;    0.090254;     -772.174312;     -772.084058;                ;          
         1;          0.5;    142.9;     52.7;     488.04;    0.088095;     -772.171157;     -772.083062;     -772.083175;      0.00
         2;          1.0;    157.6;     50.1;     461.98;    0.083391;     -772.166015;     -772.082624;     -772.083098;      0.21
         3;          1.5;    142.2;     50.7;     432.62;    0.078092;     -772.160008;     -772.081915;     -772.083030;      0.40
         4;          2.0;    119.3;     50.2;     405.35;    0.073170;     -772.154142;     -772.080972;     -772.082986;      0.52
         5;          2.5;    146.4;     50.4;     383.95;    0.069306;     -772.149156;     -772.079850;     -772.082967;      0.58
         6;          3.0;    142.1;     50.4;     370.08;    0.066803;     -772.145417;     -772.078614;     -772.082964;      0.58
         7;          3.5;    145.4;     49.4;     363.09;    0.065540;     -772.142878;     -772.077338;     -772.082989;      0.52
         8;          4.0;    158.1;     50.5;     360.23;    0.065024;     -772.141081;     -772.076057;     -772.083036;      0.38
         9;          4.5;    161.0;     51.1;     357.29;    0.064494;     -772.139250;     -772.074756;     -772.083092;      0.23
        10;          5.0;    143.1;     50.1;     349.77;    0.063136;     -772.136504;     -772.073368;     -772.083130;      0.12
        11;          5.5;    149.5;     51.4;     334.65;    0.060407;     -772.132201;     -772.071794;     -772.083127;      0.13
        12;          6.0;    142.6;     51.7;     312.31;    0.056374;     -772.126323;     -772.069949;     -772.083066;      0.30
        13;          6.5;    121.2;     51.2;     287.61;    0.051917;     -772.119742;     -772.067825;     -772.082960;      0.60
        14;          7.0;    121.1;     52.0;     269.41;    0.048630;     -772.114153;     -772.065523;     -772.082848;      0.91
        15;          7.5;    118.6;     51.8;     267.19;    0.048229;     -772.111477;     -772.063248;     -772.082785;      1.08
        16;          8.0;    144.0;     52.3;     286.04;    0.051632;     -772.112885;     -772.061253;     -772.082822;      0.98
        17;          8.5;    152.4;     52.9;     322.73;    0.058256;     -772.117955;     -772.059699;     -772.082953;      0.62
        18;          9.0;    152.5;     49.9;     366.42;    0.066142;     -772.124731;     -772.058589;     -772.083112;      0.17
        19;          9.5;    154.9;     50.4;     404.10;    0.072943;     -772.130735;     -772.057792;     -772.083226;     -0.14
